<hes>	a:6
dit3dak1	d i: t3 d 6 k1
dit3po3	d i: t3 p O:3
dit3lok6	d i: t3 l O: k6
dit3lok6seui2	d i: t3 l O: k6 s 9y2
dit3gaau1seut1	d i: t3 g a:w1 s 9: t1
dit3go3	d i: t3 g O:3
dit3go3ga3	d i: t3 g O:3 g a:3
paau2	p a:w2
paau2ha5	p a:w2 h a:5
paau2ha5bou6	p a:w2 h a:5 b ow6
paau2dung1paau2sai1	p a:w2 d u: N1 p a:w2 s 6j1
paau2m4dou3	p a:w2 m4 d ow3
paau2m4dim6	p a:w2 m4 d i: m6
paau2m4yuk1	p a:w2 m4 j y: k1
paau2lai4paau2heui3	p a:w2 l 6j4 p a:w2 h 9y3
paau2cha1	p a:w2 ts a:1
paau2loi4paau2heui3	p a:w2 l O:j4 p a:w2 h 9y3
paau2bou6	p a:w2 b ow6
paau2teui2	p a:w2 t 9y2
paau2paau2maai4	p a:w2 p a:w2 m a:j4
paau2che1	p a:w2 ts E:1
bai1	b 6j1
bai1maai4	b 6j1 m a:j4
keui5lei4	k 9y5 l ej4
gan1	g 6 n1
gan1jyu6	g 6 n1 dz y:6
gan1keui5	g 6 n1 k 9y5
gan1dou3	g 6 n1 d ow3
gan1daan1	g 6 n1 d a: n1
gan1m4seung5	g 6 n1 m4 s 9: N5
gan1m4dou2	g 6 n1 m4 d ow2
gan1m4gan1	g 6 n1 m4 g 6 n1
gan1m4gan1dak1	g 6 n1 m4 g 6 n1 d 6 k1
gan1tyun4	g 6 n1 t y: n4
gan1maai4	g 6 n1 m a:j4
gan1mei5	g 6 n1 m ej5
gan1dak1	g 6 n1 d 6 k1
gan1dak1seung6	g 6 n1 d 6 k1 s 9: N6
gan1dak1dou2	g 6 n1 d 6 k1 d ow2
gan1baan1	g 6 n1 b a: n1
gan1jung1	g 6 n1 dz u: N1
gan1che1	g 6 n1 ts E:1
gan1jeun3	g 6 n1 dz 9: n3
gan1fung1	g 6 n1 f u: N1
gan1fung1bou2bui3	g 6 n1 f u: N1 b ow2 b u:j3
gaau1	g a:w1
gwai6	gw 6j6
gwai6dai1	gw 6j6 d 6j1
gwai6m4gwai6a3	gw 6j6 m4 gw 6j6 a:3
lou6	l ow6
lou6seung6	l ow6 s 9: N6
lou6yan4	l ow6 j 6 n4
lou6laan4	l ow6 l a: n4
lou6wa4	l ow6 w a:4
lou6hau2	l ow6 h 6w2
lou6wo4hing1	l ow6 w O:4 h i: N1
lou6sok3	l ow6 s O: k3
lou6dyun6	l ow6 d y: n6
lou6yau4hei3	l ow6 j 6w4 h ej3
lou6ching4	l ow6 ts i: N4
lou6hung4	l ow6 h u: N4
lou6sin3	l ow6 s i: n3
lou6ging1	l ow6 g i: N1
lou6si3	l ow6 s i:3
lou6bin1	l ow6 b i: n1
lou6go3	l ow6 g O:3
lou6tou4	l ow6 t ow4
lou6fei1	l ow6 f ej1
tiu3	t iw3
tiu3ha6	t iw3 h a:6
tiu3dou3	t iw3 d ow3
tiu3heui3	t iw3 h 9y3
tiu3lai4tiu3heui3	t iw3 l 6j4 t iw3 h 9y3
tiu3lau5	t iw3 l 6w5
tiu3lau5gei1	t iw3 l 6w5 g ej1
tiu3chou4	t iw3 ts ow4
tiu3go1	t iw3 g O:1
tiu3hung1	t iw3 h u: N1
tiu3mou5	t iw3 m ow5
tiu3yeuk3	t iw3 j 9: k3
tiu3gou1	t iw3 g ow1
mau1	m 6w1
mau1ha2	m 6w1 h a:2
mau1dai1	m 6w1 d 6j1
daap6	d a: p6
tek3	t E: k3
tek3ha2	t E: k3 h a:2
tek3dou3	t E: k3 d ow3
tek3m4tek3	t E: k3 m4 t E: k3
tek3bo1	t E: k3 b O:1
tek3juk1kau4	t E: k3 dz u: k1 k 6w4
tek3gun2	t E: k3 g u: n2
chaai2	ts a:j2
chaai2seung6	ts a:j2 s 9: N6
chaai2ha2	ts a:j2 h a:2
chaai2dou3	ts a:j2 d ow3
chaai2daan1che1	ts a:j2 d a: n1 ts E:1
chaai2heui3	ts a:j2 h 9y3
chaai2cheung4	ts a:j2 ts 9: N4
chaai2dak1	ts a:j2 d 6 k1
chaai2lok6lai4	ts a:j2 l O: k6 l 6j4
chaai2che1	ts a:j2 ts E:1
chaai2go3	ts a:j2 g O:3
jaang1	dz a: N1
chaai2	ts a:j2
bang1	b 6 N1
bang1chaat3chaat3	b 6 N1 ts a: t3 ts a: t3
dang6dang6	d 6 N6 d 6 N6
chou3	ts ow3
laan1	l a: n1
san1	s 6 n1
san1seung6	s 6 n1 s 9: N6
san1ga3	s 6 n1 g a:3
san1fan2	s 6 n1 f 6 n2
san1fan2jing3	s 6 n1 f 6 n2 dz i: N3
san1seung1	s 6 n1 s 9: N1
san1tai2	s 6 n1 t 6j2
san1tai2gin6hong1	s 6 n1 t 6j2 g i: n6 h O: N1
san1ji2	s 6 n1 dz i:2
san1ga1	s 6 n1 g a:1
san1choi4	s 6 n1 ts O:j4
san1seui2san1hon6	s 6 n1 s 9y2 s 6 n1 h O: n6
san1bin1	s 6 n1 b i: n1
san1gou1	s 6 n1 g ow1
tong2	t O: N2
fai1jai2	f 6j1 dz 6j2
che1	ts E:1
geui1	g 9y1
che1yat1che1	ts E:1 j 6 t1 ts E:1
che1seung6	ts E:1 s 9: N6
che1ha2	ts E:1 h a:2
che1jyu2	ts E:1 dz y:2
che1jai2	ts E:1 dz 6j2
che1wai2	ts E:1 w 6j2
che1ka1	ts E:1 k a:1
che1yau5wui5	ts E:1 j 6w5 w u:j5
che1hau2	ts E:1 h 6w2
che1cheung4	ts E:1 ts 9: N4
che1maai4	ts E:1 m a:j4
che1sing2	ts E:1 s i: N2
che1seng1	ts E:1 s E: N1
che1hok3	ts E:1 h O: k3
che1tau4	ts E:1 t 6w4
che1mei5	ts E:1 m ej5
che1mei5seung1	ts E:1 m ej5 s 9: N1
che1jin2	ts E:1 dz i: n2
che1fu3	ts E:1 f u:3
che1ngo5	ts E:1 N O:5
che1fong2	ts E:1 f O: N2
che1go3	ts E:1 g O:3
geui1seui2ma5lung4	g 9y1 s 9y2 m a:5 l u: N4
che1ho2	ts E:1 h O:2
che1paai4	ts E:1 p a:j4
che1piu3	ts E:1 p iw3
che1ching4	ts E:1 ts i: N4
che1jaam6	ts E:1 dz a: m6
che1seung1	ts E:1 s 9: N1
che1jing3	ts E:1 dz i: N3
che1fai3	ts E:1 f 6j3
che1lou6si6	ts E:1 l ow6 s i:6
che1luk1	ts E:1 l u: k1
che1go3	ts E:1 g O:3
che1dou6	ts E:1 d ow6
che1gaan1	ts E:1 g a: n1
che1deui2	ts E:1 d 9y2
che1him2	ts E:1 h i: m2
che1deng2	ts E:1 d E: N2
che1ling4	ts E:1 l i: N4
gwai2dou6	gw 6j2 d ow6
hin1	h i: n1
jyun2	dz y: n2
jyun3ha2	dz y: n3 h a:2
jyun2yap6	dz y: n2 j 6 p6
jyun2dung3	dz y: n2 d u: N3
jyun2dou3	dz y: n2 d ow3
jyun2heui3	dz y: n2 h 9y3
jyun2faat3	dz y: n2 f a: t3
jyun3hyun1	dz y: n3 h y: n1
jyun2tau4	dz y: n2 t 6w4
jyun2gwai3	dz y: n2 gw 6j3
jyun2gong1jing3	dz y: n2 g O: N1 dz i: N3
jyun3gung1	dz y: n3 g u: N1
jyun3jo2jeung3	dz y: n3 dz O:2 dz 9: N3
jyun2jeung3	dz y: n2 dz 9: N3
jyun3waan1	dz y: n3 w a: n1
jyun2waan1wai2	dz y: n2 w a: n1 w 6j2
jyun2luk6	dz y: n2 l u: k6
jyun2dak1	dz y: n2 d 6 k1
jyun2sing4	dz y: n2 s i: N4
jyun2wu6	dz y: n2 w u:6
jyun2sau2	dz y: n2 s 6w2
jyun2wun6	dz y: n2 w u: n6
jyun2jip3	dz y: n2 dz i: p3
jyun2gei1	dz y: n2 g ej1
jyun2haau6	dz y: n2 h a:w6
jyun2jing3	dz y: n2 dz i: N3
jyun2yi4	dz y: n2 j i:4
jyun3sin3	dz y: n3 s i: n3
jyun2gu2	dz y: n2 g u:2
jyun2gok3wai2	dz y: n2 g O: k3 w 6j2
jyun2yeung6	dz y: n2 j 9: N6
jyun2yeung6fai3	dz y: n2 j 9: N6 f 6j3
jyun2jing3	dz y: n2 dz i: N3
jyun2jeung3	dz y: n2 dz 9: N3
jyun2san1	dz y: n2 s 6 n1
jyun3che1	dz y: n3 ts E:1
jyun2go3	dz y: n2 g O:3
jyun2go3jeung3	dz y: n2 g O:3 dz 9: N3
leun4	l 9: n4
leun4ha2	l 9: n4 h a:2
leun4yau1	l 9: n4 j 6w1
leun4jyu6	l 9: n4 dz y:6
leun4dou3	l 9: n4 d ow3
leun4yat6	l 9: n4 j 6 t6
leun4yi2	l 9: n4 j i:2
leun4lau4	l 9: n4 l 6w4
leun4baan1	l 9: n4 b a: n1
yun5	j y: n5
yun5gin2	j y: n5 g i: n2
yun5saai3	j y: n5 s a:j3
yun5suk6	j y: n5 s u: k6
yun5laak6	j y: n5 l a: k6
yun5yun5	j y: n5 j y: n5
yun5yun5suk6suk6	j y: n5 j y: n5 s u: k6 s u: k6
gwang1	gw 6 N1
gwang1lit6	gw 6 N1 l i: t6
heng1	h E: N1
heng1geui2mong5dung6	h E: N1 g 9y2 m O: N5 d u: N6
hing1m4heng1	h i: N1 m4 h E: N1
heng1hok6yun2	h E: N1 h O: k6 j y: n2
heng1gung1lou6	h E: N1 g u: N1 l ow6
hing1tiu1	h i: N1 t iw1
hing1yi6	h i: N1 j i:6
hing1sung1	h i: N1 s u: N1
hing1gwai2	h i: N1 gw 6j2
hing1gwai2dou6	h i: N1 gw 6j2 d ow6
heng1heng1	h E: N1 h E: N1
hing1hing1sung1sung1	h i: N1 h i: N1 s u: N1 s u: N1
hing1tit3	h i: N1 t i: t3
joi2	dz O:j2
gaau3	g a:w3
fu6jo6	f u:6 dz O:6
fu6jo6ji6liu4	f u:6 dz O:6 dz i:6 l iw4
fu6dou6	f u:6 d ow6
fu6dou6yun4	f u:6 d ow6 j y: n4
leung2	l 9: N2
fai1	f 6j1
fai1jai2	f 6j1 dz 6j2
fai1go1	f 6j1 g O:1
fai1siu3	f 6j1 s iw3
fai1wong4	f 6j1 w O: N4
fuk1se6	f u: k1 s E:6
chap1	ts 6 p1
syu1	s y:1
syu1ha6	s y:1 h a:6
syu1yap6	s y:1 j 6 p6
syu1cheut1	s y:1 ts 9: t1
syu1m4hei2	s y:1 m4 h ej2
syu1m4syu1	s y:1 m4 s y:1
syu1yeng4	s y:1 j E: N4
syu1chin2	s y:1 ts i: n2
luk1	l u: k1
san1	s 6 n1
san1hoi6	s 6 n1 h O:j6
san1hoi6gaak3ming6	s 6 n1 h O:j6 g a: k3 m i: N6
san1m4san1fu2	s 6 n1 m4 s 6 n1 f u:2
san1gaak3yi5deun6	s 6 n1 g a: k3 j i:5 d 9: n6
san1fu2	s 6 n1 f u:2
san1fu2ha5	s 6 n1 f u:2 h a:5
san1fu2ming6	s 6 n1 f u:2 m i: N6
san1fu2di3	s 6 n1 f u:2 d i:3
chi4	ts i:4
chi4gung1	ts i:4 g u: N1
chi4jik1	ts i:4 dz i: k1
pik1	p i: k1
pik1yu4	p i: k1 j y:4
laat6	l a: t6
laat6jiu1	l a: t6 dz iw1
laat6jiu1jeung3	l a: t6 dz iw1 dz 9: N3
san4	s 6 n4
bin1	b i: n1
bin1yat1dou6	b i: n1 j 6 t1 d ow6
bin1yat1fo1	b i: n1 j 6 t1 f O:1
bin1go3	b i: n1 g O:3
bin1wui2	b i: n1 w u:j2
bin1wai2	b i: n1 w 6j2
bin1di1	b i: n1 d i:1
bin1cheung4	b i: n1 ts 9: N4
bin1ging2	b i: n1 g i: N2
bin1chyu2	b i: n1 ts y:2
bin1gau3	b i: n1 g 6w3
bin1tau4	b i: n1 t 6w4
bin1dou6	b i: n1 d ow6
bin1yat6	b i: n1 j 6 t6
bin1yau5	b i: n1 j 6w5
bin1dung6	b i: n1 d u: N6
bin1yeung6	b i: n1 j 9: N6
bin1ji2	b i: n1 dz i:2
bin1gaai3	b i: n1 g a:j3
bin1jung2	b i: n1 dz u: N2
bin1fo1	b i: n1 f O:1
bin1hai6	b i: n1 h 6j6
bin1yiu3	b i: n1 j iw3
bin1bin1	b i: n1 b i: n1
bin1gaan1	b i: n1 g a: n1
bin1gwai2go3	b i: n1 gw 6j2 g O:3
liu4ning4	l iw4 n i: N4
liu4lam4	l iw4 l 6 m4
liu4lam4saang2	l iw4 l 6 m4 s a: N2
daat6	d a: t6
daat6yan4	d a: t6 j 6 n4
daat6dou3	d a: t6 d ow3
daat6suk1	d a: t6 s u: k1
daat6m4dou2	d a: t6 m4 d ow2
daat6sing4	d a: t6 s i: N4
daat6si1wa4	d a: t6 s i:1 w a:4
daat6biu1	d a: t6 b iw1
chin1	ts i: n1
chin1dak1	ts i: n1 d 6 k1
chin1jau2	ts i: n1 dz 6w2
chin1faan1	ts i: n1 f a: n1
go3	g O:3
go3yat1go3	g O:3 j 6 t1 g O:3
go3yat1go3heui3	g O:3 j 6 t1 g O:3 h 9y3
go3yat1go3lei4	g O:3 j 6 t1 g O:3 l ej4
go3ha5	g O:3 h a:5
go3ha5heui3	g O:3 h a:5 h 9y3
go3sai3	g O:3 s 6j3
go3leung5jiu1	g O:3 l 9: N5 dz iw1
go3yu1	g O:3 j y:1
go3gwaan1	g O:3 gw a: n1
go3gwaan1jaam2jeung3	g O:3 gw a: n1 dz a: m2 dz 9: N3
go3dung1	g O:3 d u: N1
go3fan6	g O:3 f 6 n6
go3dou3	g O:3 d ow3
go3dou3heui3	g O:3 d ow3 h 9y3
go3dou3lai4	g O:3 d ow3 l 6j4
go3dou5lin2	g O:3 d ow5 l i: n2
go3dou3loi4	g O:3 d ow3 l O:j4
go3heui3	g O:3 h 9y3
go3hau6	g O:3 h 6w6
go3m4dou3	g O:3 m4 d ow3
go3m4dak1heui3	g O:3 m4 d 6 k1 h 9y3
go3m4go3	g O:3 m4 g O:3
go3m4go3heui3	g O:3 m4 g O:3 h 9y3
go3m4go3lei4	g O:3 m4 g O:3 l ej4
go3lai4	g O:3 l 6j4
go3tou2	g O:3 t ow2
go3maai4	g O:3 m a:j4
go3maai4heui3	g O:3 m a:j4 h 9y3
go3maai4lin4	g O:3 m a:j4 l i: n4
go3gei1sin3	g O:3 g ej1 s i: n3
go3ging2	g O:3 g i: N2
go3ging2jing3	g O:3 g i: N2 dz i: N3
go3do1	g O:3 d O:1
go3ye6	g O:3 j E:6
go3daai6lai5	g O:3 d a:j6 l 6j5
go3tau4	g O:3 t 6w4
go3jeung2	g O:3 dz 9: N2
go3yun4lin4	g O:3 j y: n4 l i: n4
go3saan1che1	g O:3 s a: n1 ts E:1
go3jo2heui3	g O:3 dz O:2 h 9y3
go3jo2lai4	g O:3 dz O:2 l 6j4
go3jo2lin4	g O:3 dz O:2 l i: n4
go3jo2kei4	g O:3 dz O:2 k ej4
go3lin4	g O:3 l i: n4
go3dou6	g O:3 d ow6
go3keung5	g O:3 k 9: N5
go3dak1	g O:3 d 6 k1
go3dak1heui3	g O:3 d 6 k1 h 9y3
go3yi3	g O:3 j i:3
go3gan2	g O:3 g 6 n2
go3man5	g O:3 m 6 n5
go3yat6ji2	g O:3 j 6 t6 dz i:2
go3maan5	g O:3 m a: n5
go3kei4	g O:3 k ej4
go3loi4	g O:3 l O:j4
go3loi4yan4	g O:3 l O:j4 j 6 n4
go3kiu4	g O:3 k iw4
go3jong1	g O:3 dz O: N1
go3gong1	g O:3 g O: N1
go3gong1daai6dou6	g O:3 g O: N1 d a:j6 d ow6
go3hoi2	g O:3 h O:j2
go3dou6	g O:3 d ow6
go3leui6	g O:3 l 9y6
go3leui6hei3	g O:3 l 9y6 h ej3
go3yan5	g O:3 j 6 n5
go3yan5ha5	g O:3 j 6 n5 h a:5
go3baak3	g O:3 b a: k3
go3ngaan5	g O:3 N a: n5
go3ching4	g O:3 ts i: N4
go3lung4	g O:3 l u: N4
go3gan2lai4	g O:3 g 6 n2 l 6j4
go3jit3	g O:3 dz i: t3
go3jan6si4	g O:3 dz 6 n6 s i:4
go3lung4	g O:3 l u: N4
maai6tang4	m a:j6 t 6 N4
ying4	j i: N4
ying4ban1gun2	j i: N4 b 6 n1 g u: n2
wan6	w 6 n6
wan6jok3	w 6 n6 dz O: k3
wan6dung6	w 6 n6 d u: N6
wan6dung6ha5	w 6 n6 d u: N6 h a:5
wan6dung6wui5	w 6 n6 d u: N6 w u:j5
wan6dung6yun4	w 6 n6 d u: N6 j y: n4
wan6dung6leung6	w 6 n6 d u: N6 l 9: N6
wan6hei3	w 6 n6 h ej3
wan6hang4	w 6 n6 h 6 N4
wan6fai3	w 6 n6 f 6j3
wan6syu1	w 6 n6 s y:1
gan6	g 6 n6
gan6fong3	g 6 n6 f O: N3
gan6chyu4dak1sik6	g 6 n6 ts y:4 d 6 k1 s i: k6
kan5m4kan5	k 6 n5 m4 k 6 n5
gan6paai4	g 6 n6 p a:j4
gan6yat6	g 6 n6 j 6 t6
gan6kei4	g 6 n6 k ej4
gan6loi4	g 6 n6 l O:j4
gan6hoi2	g 6 n6 h O:j2
gan6si6	g 6 n6 s i:6
gan6si6ngaan5	g 6 n6 s i:6 N a: n5
kan5kan5	k 6 n5 k 6 n5
kan5kan5dei2	k 6 n5 k 6 n5 d ej2
gan6gaau1	g 6 n6 g a:w1
kan5geng3	k 6 n5 g E: N3
faan1	f a: n1
faan1seung5	f a: n1 s 9: N5
faan1ha5	f a: n1 h a:5
faan1ha5lei4	f a: n1 h a:5 l ej4
faan1yap6	f a: n1 j 6 p6
faan1yap6heui3	f a: n1 j 6 p6 h 9y3
faan1yap6lai4	f a: n1 j 6 p6 l 6j4
faan1dou3	f a: n1 d ow3
faan1dou3heui3	f a: n1 d ow3 h 9y3
faan1dou3lai4	f a: n1 d ow3 l 6j4
faan1dou3hok6	f a: n1 d ow3 h O: k6
faan1dou3loi4	f a: n1 d ow3 l O:j4
faan2heui3	f a: n2 h 9y3
faan1heui3dou2	f a: n1 h 9y3 d ow2
faan1m4	f a: n1 m4
faan1m4dou2	f a: n1 m4 d ow2
faan1m4dou2heui3	f a: n1 m4 d ow2 h 9y3
faan1m4faan1	f a: n1 m4 f a: n1
faan1m4faan1dou2	f a: n1 m4 f a: n1 d ow2
faan1m4faan1heui3	f a: n1 m4 f a: n1 h 9y3
faan1m4faan1lai4	f a: n1 m4 f a: n1 l 6j4
faan1m4faan1hok6	f a: n1 m4 f a: n1 h O: k6
faan1m4faan1uk1kei5	f a: n1 m4 f a: n1 u: k1 k ej5
faan1m4faan1gung1	f a: n1 m4 f a: n1 g u: N1
faan1lai4	f a: n1 l 6j4
faan1wui4tau4	f a: n1 w u:j4 t 6w4
faan1maai4	f a: n1 m a:j4
faan1ye6baan1	f a: n1 j E:6 b a: n1
faan1tau4	f a: n1 t 6w4
faan1hok6	f a: n1 h O: k6
faan1yun4hok6	f a: n1 j y: n4 h O: k6
faan1yun4gung1	f a: n1 j y: n4 g u: N1
faan1uk1kei5	f a: n1 u: k1 k ej5
faan1gung1	f a: n1 g u: N1
faan1jo2heui3	f a: n1 dz O:2 h 9y3
faan1jo2hok6	f a: n1 dz O:2 h O: k6
faan1jo2uk1kei2	f a: n1 dz O:2 u: k1 k ej2
faan1jo2gung1	f a: n1 dz O:2 g u: N1
faan1dak1dou2	f a: n1 d 6 k1 d ow2
faan1dak1heui3	f a: n1 d 6 k1 h 9y3
faan1dak1lai4	f a: n1 d 6 k1 l 6j4
faan1gan2heui3	f a: n1 g 6 n2 h 9y3
faan1gan2hok6	f a: n1 g 6 n2 h O: k6
faan1gan2gung1	f a: n1 g 6 n2 g u: N1
faan2loi4	f a: n2 l O:j4
faan1saang1	f a: n1 s a: N1
faan1faan1	f a: n1 f a: n1
faan1gan2	f a: n1 g 6 n2
faan1gan2heui3	f a: n1 g 6 n2 h 9y3
faan1jyun2tau4	f a: n1 dz y: n2 t 6w4
faan1go3uk1kei2	f a: n1 g O:3 u: k1 k ej2
faan2faan1lai4	f a: n2 f a: n1 l 6j4
waan4	w a: n4
waan4syu1	w a: n4 s y:1
waan4gik1	w a: n4 g i: k1
waan4yun4	w a: n4 j y: n4
waan4hou2	w a: n4 h ow2
waan4dim6	w a: n4 d i: m6
waan4si6	w a: n4 s i:6
waan4fun2	w a: n4 f u: n2
waan4fun2kei4	w a: n4 f u: n2 k ej4
waan4syun3	w a: n4 s y: n3
waan4hai6	w a: n4 h 6j6
waan4taai3	w a: n4 t a:j3
waan4chin2	w a: n4 ts i: n2
je3	dz E:3
je5yeung6	dz E:5 j 9: N6
je5yeung6ji2	dz E:5 j 9: N6 dz i:2
jeun3	dz 9: n3
jeun3ha5bou2	dz 9: n3 h a:5 b ow2
jeun3sau1	dz 9: n3 s 6w1
jeun3yap6	dz 9: n3 j 6 p6
jeun3yap6heui3	dz 9: n3 j 6 p6 h 9y3
jeun3hau2	dz 9: n3 h 6w2
jeun3cheung4	dz 9: n3 ts 9: N4
jeun3bou6	dz 9: n3 b ow6
jeun3hang4	dz 9: n3 h 6 N4
jeun3fo3	dz 9: n3 f O:3
jeun3teui3leung5naan6	dz 9: n3 t 9y3 l 9: N5 n a: n6
jeun3jyu3	dz 9: n3 dz y:3
yun5	j y: n5
yun5dou3	j y: n5 d ow3
yun5gu2	j y: n5 g u:2
yun5m4yun5	j y: n5 m4 j y: n5
yun5dak1jai6	j y: n5 d 6 k1 dz 6j6
yun5lou6	j y: n5 l ow6
yun5tou4	j y: n5 t ow4
wai4	w 6j4
wai4jeung1	w 6j4 dz 9: N1
wai4kwai1	w 6j4 kw 6j1
lin4	l i: n4
lin4tai2	l i: n4 t 6j2
lin4maai4	l i: n4 m a:j4
lin4saan1	l i: n4 s a: n1
lin4jau1	l i: n4 dz 6w1
lin4jip3	l i: n4 dz i: p3
lin4jip3m4dou2	l i: n4 dz i: p3 m4 d ow2
lin4jip3m4sing4	l i: n4 dz i: p3 m4 s i: N4
lin4jip3dak1seung5	l i: n4 dz i: p3 d 6 k1 s 9: N5
lin4jip3dak1dou2	l i: n4 dz i: p3 d 6 k1 d ow2
lin4mou4gaam3si2	l i: n4 m ow4 g a: m3 s i:2
lin4jau1	l i: n4 dz 6w1
lin4juk6	l i: n4 dz u: k6
lin4juk6kek6	l i: n4 dz u: k6 k E: k6
lin4gun3	l i: n4 g u: n3
lin4lin4toi4	l i: n4 l i: n4 t O:j4
lin4so2	l i: n4 s O:2
chi4	ts i:4
chi4ha2	ts i:4 h a:2
chi4dou3	ts i:4 d ow3
chi4m4chi4dou3	ts i:4 m4 ts i:4 d ow3
chi4jou2	ts i:4 dz ow2
chi4wun6	ts i:4 w u: n6
chi4chi4dei6	ts i:4 ts i:4 d ej6
chi4deun6	ts i:4 d 9: n6
chi4jan6	ts i:4 dz 6 n6
chi4deun6	ts i:4 d 9: n6
dik6si6nei4	d i: k6 s i:6 n ej4
dik6si6nei4lok6yun4	d i: k6 s i:6 n ej4 l O: k6 j y: n4
baak1	b a: k1
bik1bat1dak1yi5	b i: k1 b 6 t1 d 6 k1 j i:5
mai4	m 6j4
mai4lei5	m 6j4 l ej5
mai4choi2	m 6j4 ts O:j2
mai4mong5	m 6j4 m O: N5
jeui1	dz 9y1
jeui1ha2	dz 9y1 h a:2
jeui1dou2	dz 9y1 d ow2
jeui1m4seung5	dz 9y1 m4 s 9: N5
jeui1m4dou3	dz 9y1 m4 d ow3
jeui1m4hei2	dz 9y1 m4 h ej2
jeui1maai4	dz 9y1 m a:j4
jeui1hoi1	dz 9y1 h O:j1
jeui1sing1yat1juk6	dz 9y1 s i: N1 j 6 t1 dz u: k6
jeui1loi4jeui1heui3	dz 9y1 l O:j4 dz 9y1 h 9y3
jeui1kau4	dz 9y1 k 6w4
jeui1gan2	dz 9y1 g 6 n2
jeui1jung1hei3	dz 9y1 dz u: N1 h ej3
teui3	t 9y3
teui3ng5	t 9y3 N5
teui3yau1	t 9y3 j 6w1
teui3yau1gam1	t 9y3 j 6w1 g 6 m1
teui3bou2	t 9y3 b ow2
teui3daan1	t 9y3 d a: n1
teui3maai4yau1	t 9y3 m a:j4 j 6w1
teui3suk1	t 9y3 s u: k1
teui3jo2yau1	t 9y3 dz O:2 j 6w1
teui3si5	t 9y3 s i:5
teui3fong2	t 9y3 f O: N2
teui3gan2yau1	t 9y3 g 6 n2 j 6w1
teui3bou6	t 9y3 b ow6
teui3siu1	t 9y3 s iw1
teui3suk1	t 9y3 s u: k1
teui3faan1	t 9y3 f a: n1
teui3fo3	t 9y3 f O:3
teui3faan2	t 9y3 f a: n2
sung3	s u: N3
sung3seung5	s u: N3 s 9: N5
sung3ha5	s u: N3 h a:5
sung3yan4	s u: N3 j 6 n4
sung3jyu6	s u: N3 dz y:6
sung3m4sung3	s u: N3 m4 s u: N3
sung3lai4	s u: N3 l 6j4
sung3maai4	s u: N3 m a:j4
sung3ga3	s u: N3 g a:3
sung3fo3	s u: N3 f O:3
sung3daat6	s u: N3 d a: t6
sik1	s i: k1
sik1jung1	s i: k1 dz u: N1
sik1ho2yi4ji2	s i: k1 h O:2 j i:4 dz i:2
sik1hap6	s i: k1 h 6 p6
sik1m4sik1hap6	s i: k1 m4 s i: k1 h 6 p6
sik1m4sik1ying3	s i: k1 m4 s i: k1 j i: N3
sik1yi4	s i: k1 j i:4
sik1ying3	s i: k1 j i: N3
sik1ying3ha5	s i: k1 j i: N3 h a:5
sik1dong3	s i: k1 d O: N3
tou4	t ow4
tou4bing1	t ow4 b i: N1
tou4hok6	t ow4 h O: k6
tou4saang1	t ow4 s a: N1
tou4fo3	t ow4 f O:3
yik6	j i: k6
yik6si4	j i: k6 s i:4
syun2	s y: n2
syun2sau1	s y: n2 s 6w1
syun2sau1fo3	s y: n2 s 6w1 f O:3
syun2fan1	s y: n2 f 6 n1
syun2sau2	s y: n2 s 6w2
syun2jaak6	s y: n2 dz a: k6
syun2jaak6sing3	s y: n2 dz a: k6 s i: N3
syun2jaak6tai4	s y: n2 dz a: k6 t 6j4
tau3	t 6w3
tau3ha2	t 6w3 h a:2
tau3ming4jong1	t 6w3 m i: N4 dz O: N1
tau3hei3	t 6w3 h ej3
tau3lou6	t 6w3 l ow6
juk6	dz u: k6
juk6go3	dz u: k6 g O:3
juk6di1	dz u: k6 d i:1
juk6siu2siu2	dz u: k6 s iw2 s iw2
juk6gaan1	dz u: k6 g a: n1
dai6	d 6j6
dai6bei2	d 6j6 b ej2
dai6faan2	d 6j6 f a: n2
tou4jung1	t ow4 dz u: N1
tou4ging3	t ow4 g i: N3
tou4ging1	t ow4 g i: N1
dau6	d 6w6
dau6lau4	d 6w6 l 6w4
tung1	t u: N1
tung1seun3	t u: N1 s 9: n3
tung1gwaan1	t u: N1 gw a: n1
tung1gwaan1jing3	t u: N1 gw a: n1 dz i: N3
tung1heui3	t u: N1 h 9y3
tung1m4tung1ji1	t u: N1 m4 t u: N1 dz i:1
tung1yun4wa6	t u: N1 j y: n4 w a:6
tung1siu1	t u: N1 s iw1
tung1jo2	t u: N1 dz O:2
tung1seung4	t u: N1 s 9: N4
tung1saai3la1	t u: N1 s a:j3 l a:1
tung1seui2	t u: N1 s 9y2
tung1jai3	t u: N1 dz 6j3
tung1song2	t u: N1 s O: N2
tung1yung6	t u: N1 j y: N6
tung1din6	t u: N1 d i: n6
tung1ji1	t u: N1 dz i:1
tung1ji1dou3	t u: N1 dz i:1 d ow3
tung1ji1daan1	t u: N1 dz i:1 d a: n1
tung1fan2	t u: N1 f 6 n2
tung1jeung3	t u: N1 dz 9: N3
tung1hyut3gun2	t u: N1 h y: t3 g u: n2
tung1gaai1	t u: N1 g a:j1
tung1wa6	t u: N1 w a:6
