<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
尊	jeun1	dz 9: n _1	dz y: n _1
小	siu2	s iw _2
小妹	siu2mui2	s iw _2 . m u:j _2
小娥	siu2ngo4	s iw _2 . N O: _4	s iw _2 . O: _4
小子	siu2ji2	s iw _2 . dz i: _2
小时	siu2si4	s iw _2 . s i: _4
小明	siu2ming4	s iw _2 . m i: N _4
小环	siu2waan4	s iw _2 . w a: n _4
小组	siu2jou2	s iw _2 . dz ow _2
小说	siu2syut3	s iw _2 . s y: t _3
小龙女	siu2lung4neui5	s iw _2 . l u: N _4 . n 9y _5
少	siu2	s iw _2	s iw _3
少年	siu3nin4	s iw _3 . n i: n _4
少数	siu2sou3	s iw _2 . s ow _3
少爷仔	siu3ye4jai2	s iw _3 . j E: _4 . dz 6j _2
少量	siu2leung6	s iw _2 . l 9: N _6
尘嚣	chan4hiu1	ts 6 n _4 . h iw _1
尚志	seung6ji3	s 9: N _6 . dz i: _3
尝	seung4	s 9: N _4
尝试	seung4si3	s 9: N _4 . s i: _3
尤先科	yau4sin1fo1	j 6w _4 . s i: n _1 . f O: _1
就	jau6	dz 6w _6
就业	jau6yip6	dz 6w _6 . j i: p _6
尼	nei4	n ej _4
尽心尽力	jeun6sam1jeun6lik6	dz 9: n _6 . s 6 m _1 . dz 9: n _6 . l i: k _6
尽快	jeun6faai3	dz 9: n _6 . f a:j _3
尽责	jeun6jaak3	dz 9: n _6 . dz a: k _3
尽量	jeun6leung6	dz 9: n _6 . l 9: N _6
尾	mei5	m ej _5
局势	guk6sai3	g u: k _6 . s 6j _3
局长	guk6jeung2	g u: k _6 . dz 9: N _2
局面	guk6min6	g u: k _6 . m i: n _6
层	chang4	ts 6 N _4
层面	chang4min2	ts 6 N _4 . m i: n _2	ts 6 N _4 . m i: n _6
居民	geui1man4	g 9y _1 . m 6 n _4
届	gaai3	g a:j _3
屋	nguk1	N u: k _1	u: k _1
屋顶	nguk1deng2	N u: k _1 . d E: N _2	u: k _1 . d E: N _2
屎	si2	s i: _2
展	jin2	dz i: n _2
展现	jin2yin6	dz i: n _2 . j i: n _6
展览	jin2laam5	dz i: n _2 . l a: m _5
属于	suk6yu1	s u: k _6 . j y: _1
屯河	tyun4ho2	dz 9: n _1 . h O: _2	t y: n _4 . h O: _2
山	saan1	s a: n _1
山林	saan1lam4	s a: n _1 . l 6 m _4
山顶	saan1deng2	s a: n _1 . d E: N _2
屹立不倒	ngat6laap6bat1dou3	N 6 t _6 . l a: p _6 . b 6 t _1 . d ow _3
岁月	seui3yut6	s 9y _3 . j y: t _6
岗位	gong1wai2	g O: N _1 . w 6j _2
岭	ling5	l i: N _5
川	chyun1	ts y: n _1
工	gung1	g u: N _1
工人	gung1yan4	g u: N _1 . j 6 n _4
工作	gung1jok3	g u: N _1 . dz O: k _3
工作日	gung1jok3yat6	g u: N _1 . dz O: k _3 . j 6 t _6
工具	gung1geui6	g u: N _1 . g 9y _6
工厂化	gung1chong2fa3	g u: N _1 . ts O: N _2 . f a: _3
工艺	gung1ngai6	g u: N _1 . N 6j _6
左	jo2	dz O: _2
左右	jo2yau6	dz O: _2 . j 6w _6
左脑	jo2nou5	dz O: _2 . n ow _5
巧乞节	haau2hat1jit3	h a:w _2 . h 6 t _1 . dz i: t _3
巨象	geui6jeung6	g 9y _6 . dz 9: N _6
差异	cha1yi6	ts a: _1 . j i: _6
己	gei2	g ej _2
已	yi5	j i: _5
已经	yi5ging1	j i: _5 . g i: N _1
巴士	ba1si2	b a: _1 . s i: _2
市	si5	s i: _5
市内	si5noi6	s i: _5 . n O:j _6
市场	si5cheung4	s i: _5 . ts 9: N _4
市长	si5jeung2	s i: _5 . dz 9: N _2
师	si1	s i: _1
师兄	si1hing1	s i: _1 . h i: N _1
师妹	si1mui2	s i: _1 . m u:j _2
师姐	si1je2	s i: _1 . dz E: _2
希望	hei1mong6	h ej _1 . m O: N _6
帝国	dai3gwok3	d 6j _3 . gw O: k _3
带	daai3	d a:j _3
带来	daai3loi4	d a:j _3 . l O:j _4
带给	daai3kap1	d a:j _3 . k 6 p _1
帮	bong1	b O: N _1
帮助	bong1jo6	b O: N _1 . dz O: _6
帮忙	bong1mong4	b O: N _1 . m O: N _4
常	seung4	s 9: N _4
常山	seung4saan1	s 9: N _4 . s a: n _1
常常	seung4seung4	s 9: N _4 . s 9: N _4
幅	fuk1	f u: k _1
平凡	ping4faan4	p i: N _4 . f a: n _4
平和	ping4wo4	p i: N _4 . w O: _4
平安	ping4ngon1	p i: N _4 . N O: n _1
平安夜	ping4ngon1ye6	p i: N _4 . N O: n _1 . j E: _6
平常	ping4seung4	p i: N _4 . s 9: N _4
平度	ping4dou6	p i: N _4 . d ow _6
平方米	ping4fong1mai1	p i: N _4 . f O: N _1 . m 6j _1	p i: N _4 . f O: N _1 . m 6j _5
年	nin4	l i: n _2	l i: n _4	n i: n _2	n i: n _4
年代	nin4doi6	n i: n _4 . d O:j _6
年初一	nin4cho1jat1	n i: n _4 . ts O: _1 . dz 6 t _1
年纪	nin4gei2	n i: n _4 . g ej _2
年老	nin4lou5	n i: n _4 . l ow _5
年轻	nin4heng1	n i: n _4 . h E: N _1
年轻人	nin4heng1yan4	n i: n _4 . h E: N _1 . j 6 n _4
年长	nin2jeung2	n i: n _2 . dz 9: N _2
年青	nin4ching1	n i: n _4 . ts i: N _1
年青人	nin4ching1yan4	n i: n _4 . ts i: N _1 . j 6 n _4
并	bing6	b i: N _6
幸亏	hang6kwai1	h 6 N _6 . kw 6j _1
幸福	hang6fuk1	h 6 N _6 . f u: k _1
广	gwong2	gw O: N _2	k O: N _2
广东	gwong2dung1	gw O: N _2 . d u: N _1	k O: N _2 . d u: N _1
广东省	gwong2dung1saang2	gw O: N _2 . d u: N _1 . s a: N _2	k O: N _2 . d u: N _1 . s a: N _2
广东话	gwong2dung1wa2	gw O: N _2 . d u: N _1 . w a: _2	gw O: N _2 . d u: N _1 . w a: _6	k O: N _2 . d u: N _1 . w a: _2	k O: N _2 . d u: N _1 . w a: _6
广元	gwong2yun4	gw O: N _2 . j y: n _4	k O: N _2 . j y: n _4
广州	gwong2jau1	gw O: N _2 . dz 6w _1
广州市	gwong2jau1si5	gw O: N _2 . dz 6w _1 . s i: _5
广弘	gwong2wang4	gw O: N _2 . w 6 N _4	k O: N _2 . w 6 N _4
广西	gwong2sai1	gw O: N _2 . s 6j _1	k O: N _2 . s 6j _1
庄惠菱	jong1wai6ling4	dz O: N _1 . w 6j _6 . l i: N _4
庆阳	hing3yeung4	h i: N _3 . j 9: N _4
应	ying1	j i: N _1	j i: N _3
应付	ying3fu6	j i: N _3 . f u: _6
应对	ying3deui3	j i: N _3 . d 9y _3
应当	ying1dong1	j i: N _1 . d O: N _1
应急	ying3gap1	j i: N _3 . g 6 p _1
应该	ying1goi1	j i: N _1 . g O:j _1
废气	fai3hei3	f 6j _3 . h ej _3
废水	fai3seui2	f 6j _3 . s 9y _2
废渣	fai3ja1	f 6j _3 . dz a: _1
度假村	dou6ga3chyun1	d ow _6 . g a: _3 . ts y: n _1
庭园	ting4yun4	t i: N _4 . j y: n _2	t i: N _4 . j y: n _4
廉租房	lim4jou1fong2	l i: m _4 . dz ow _1 . f O: N _2
建	gin3	g i: n _3
建军节	gin3gwan1jit3	g i: n _3 . gw 6 n _1 . dz i: t _3
建成	gin3sing4	g i: n _3 . s i: N _4
建瓯	gin3au1	g i: n _3 . 6w _1
建立	gin3laap6	g i: n _3 . l a: p _6
建筑	gin3juk1	g i: n _3 . dz u: k _1
建筑师	gin3juk1si1	g i: n _3 . dz u: k _1 . s i: _1
建设	gin3chit3	g i: n _3 . ts i: t _3
廿一	ya6yat1	j a: _6 . j 6 t _1
廿七	ya6chat1	j a: _6 . ts 6 t _1
廿九日	ya6gau2yat6	j a: _6 . g 6w _2 . j 6 t _6
廿五日	ya6ng5yat6	j a: _6 . N _5 . j 6 t _6	j a: _6 . m _5 . j 6 t _6
廿八	ya6baat3	j a: _6 . b a: t _3
廿六号	ya6luk6hou2	j a: _6 . l u: k _6 . h ow _2
开	hoi1	h O:j _1
开创	hoi1chong3	h O:j _1 . ts O: N _3
开办	hoi1baan6	h O:j _1 . b a: n _6
开发	hoi1faat3	h O:j _1 . f a: t _3
开始	hoi1chi2	h O:j _1 . ts i: _2
开展	hoi1jin2	h O:j _1 . dz i: n _2
开市	hoi1si5	h O:j _1 . s i: _5
开开	hoi1hoi1	h O:j _1 . h O:j _1
开支	hoi1ji1	h O:j _1 . dz i: _1
开放	hoi1fong3	h O:j _1 . f O: N _3
开船	hoi1syun4	h O:j _1 . s y: n _4
开花	hoi1fa1	h O:j _1 . f a: _1
开设	hoi1chit3	h O:j _1 . ts i: t _3
弃婴	hei3ying1	h ej _3 . j i: N _1
弄	lung6	l u: N _6	n u: N _6
式	sik1	s i: k _1
张	jeung1	dz 9: N _1
张凯惟	jeung1hoi2wai4	dz 9: N _1 . h O:j _2 . w 6j _4
张圣杰	jeung1sing3git6	dz 9: N _1 . s i: N _3 . g i: t _6
张家港	jeung1ga1gong2	dz 9: N _1 . g a: _1 . g O: N _2
张怡珊	jeung1yi4saan1	dz 9: N _1 . j i: _4 . s a: n _1
张淑政	jeung1suk6jing3	dz 9: N _1 . s u: k _6 . dz i: N _3
张雅皓	jeung1nga5gou2	dz 9: N _1 . N a: _5 . g ow _2	dz 9: N _1 . N a: _5 . h ow _6
弱肉强食	yeuk6yuk6keung5sik6	j 9: k _6 . j y: k _6 . k 9: N _5 . s i: k _6
强	keung5	k 9: N _5
强化	keung4fa3	k 9: N _4 . f a: _3
强壮	keung4jong3	k 9: N _4 . dz O: N _3
强度	keung4dou6	k 9: N _4 . d ow _6
强调	keung4diu6	k 9: N _4 . d iw _6
归	gwai1	gw 6j _1
当	dong1	d O: N _1	d O: N _3
当中	dong1jung1	d O: N _1 . dz u: N _1
当之无愧	dong1ji1mou4kwai5	d O: N _1 . dz i: _1 . m ow _4 . kw 6j _5
当代	dong1doi6	d O: N _1 . d O:j _6
当前	dong1chin4	d O: N _1 . ts i: n _4
当地	dong1dei6	d O: N _1 . d ej _6
当头	dong1tau4	d O: N _1 . t 6w _4
当局	dong1guk6	d O: N _1 . g u: k _6
当时	dong1si4	d O: N _1 . s i: _4
当然	dong1yin4	d O: N _1 . j i: n _4
形态	ying4taai3	j i: N _4 . t a:j _3
形成	ying4sing4	j i: N _4 . s i: N _4
形象	ying4jeung6	j i: N _4 . dz 9: N _6
彬彬有礼	ban1ban1yau5lai5	b 6 n _1 . b 6 n _1 . j 6w _5 . l 6j _5
影响	ying2heung2	j i: N _2 . h 9: N _2
彼此	bei2chi2	b ej _2 . ts i: _2
往	wong5	w O: N _5
往往	wong5wong5	w O: N _5 . w O: N _5
待	doi6	d O:j _6
很	han2	h 6 n _2
很多	han2do1	h 6 n _2 . d O: _1
律敦治	leut6deun1ji6	l 9: t _6 . d 9: n _1 . dz i: _6
得	dak1	d 6 k _1
得以	dak1yi5	d 6 k _1 . j i: _5
得体	dak1tai2	d 6 k _1 . t 6j _2
得出	dak1chuet1	d 6 k _1 . ts u: E: t _1
得到	dak1dou3	d 6 k _1 . d ow _3
得失	dak1sat1	d 6 k _1 . s 6 t _1
得手	dak1sau2	d 6 k _1 . s 6w _2
得知	dak1ji1	d 6 k _1 . dz i: _1
得罪	dak1jeui6	d 6 k _1 . dz 9y _6
循环	cheun4waan4	ts 9: n _4 . w a: n _4
微	mei4	m ej _4
微量元素	mei4leung6yun4sou3	m ej _4 . l 9: N _6 . j y: n _4 . s ow _3
徵状	jing1jong6	dz i: N _1 . dz O: N _6
德	dak1	d 6 k _1
德国	dak1gwok3	d 6 k _1 . gw O: k _3
心	sam1	s 6 m _1
心中	sam1jung1	s 6 m _1 . dz u: N _1
心事	sam1si6	s 6 m _1 . s i: _6
心境	sam1ging2	s 6 m _1 . g i: N _2	s 6 m _1 . g i: N _3
心底	sam1dai2	s 6 m _1 . d 6j _2
心得	sam1dak1	s 6 m _1 . d 6 k _1
心态	sam1taai3	s 6 m _1 . t a:j _3
心情	sam1ching4	s 6 m _1 . ts i: N _4
心意	sam1yi3	s 6 m _1 . j i: _3
心愿	sam1yun6	s 6 m _1 . j y: n _6
心灵	sam1ling4	s 6 m _1 . l i: N _4
心理	sam1lei5	s 6 m _1 . l ej _5
心病	sam1beng6	s 6 m _1 . b E: N _6
心胸	sam1hung1	s 6 m _1 . h u: N _1
心脏病	sam1jong6beng6	s 6 m _1 . dz O: N _6 . b E: N _6
心血管	sam1hyut3gun2	s 6 m _1 . h y: t _3 . g u: n _2
心跳	sam1tiu3	s 6 m _1 . t iw _3
心连心	sam1lin4sam1	s 6 m _1 . l i: n _4 . s 6 m _1
必	bit1	b i: t _1
必须	bit1seui1	b i: t _1 . s 9y _1
忍让	yan2yeung6	j 6 n _2 . j 9: N _6
志同道合	ji3tung4dou6hap6	dz i: _3 . t u: N _4 . d ow _6 . h 6 p _6
志趣	ji3cheui3	dz i: _3 . ts 9y _3
忘情	mong4ching4	m O: N _4 . ts i: N _4
忘掉	mong4diu6	m O: N _4 . d iw _6
忘记	mong4gei3	m O: N _4 . g ej _3
快	faai3	f a:j _3
快乐	faai3lok6	f a:j _3 . l O: k _6
快速	faai3chuk1	f a:j _3 . ts u: k _1
忽略	fat1leuk6	f 6 t _1 . l 9: k _6
怀疑	waai4yi4	w a:j _4 . j i: _4
态度	taai3dou6	t a:j _3 . d ow _6
怎么	jam2mo1	dz 6 m _2 . m O: _1
怎样	jam2yeung6	dz 6 m _2 . j 9: N _2	dz 6 m _2 . j 9: N _6
思念	si1nim6	s i: _1 . n i: m _6
思想	si1seung2	s i: _1 . s 9: N _2
思考	si1haau2	s i: _1 . h a:w _2
怡情养性	yi4ching4yeung5sing3	j i: _4 . ts i: N _4 . j 9: N _5 . s i: N _3
急速	gap1chuk1	g 6 p _1 . ts u: k _1
性	sing3	s i: N _3
性情	sing3ching4	s i: N _3 . ts i: N _4
性格	sing3gaak3	s i: N _3 . g a: k _3
怪物	gwaai3mat6	gw a:j _3 . m 6 t _6
怪责	gwaai3jaak3	gw a:j _3 . dz a: k _3
总	jung2	dz u: N _2
总是	jung2si6	dz u: N _2 . s i: _6
总经理	jung2ging1lei5	dz u: N _2 . g i: N _1 . l ej _5
总统	jung2tung2	dz u: N _2 . t u: N _2
恍然大悟	fong2yin1daai6ng6	f O: N _2 . j i: n _1 . d a:j _6 . N _6
恒	hang4	h 6 N _4	h 6 n _4
恒生	hang4sang1	h 6 N _4 . s 6 N _1
恢复	fui1fuk6	f u:j _1 . f u: k _6
恨	han6	h 6 n _6
恨意	han6yi3	h 6 n _6 . j i: _3
悔	fui3	f u:j _3
患上	waan6seung5	w a: n _6 . s 9: N _5
患者	waan6je2	w a: n _6 . dz E: _2
悲	bei1	b ej _1
悲苦	bei1fu2	b ej _1 . f u: _2
悼念	dou6nim6	d ow _6 . n i: m _6
情	ching4	ts i: N _4
情人节	ching4yan4jit3	ts i: N _4 . j 6 n _4 . dz i: t _3
情况	ching4fong3	ts i: N _4 . f O: N _3
情场	ching4cheung4	ts i: N _4 . ts 9: N _4
情形	ching4ying4	ts i: N _4 . j i: N _4
情怀	ching4waai4	ts i: N _4 . w a:j _4
情感	ching4gam2	ts i: N _4 . g 6 m _2
情爱	ching4oi3	ts i: N _4 . N O:j _3	ts i: N _4 . O:j _3
情绪	ching4seui5	ts i: N _4 . s 9y _5
惊人	ging1yan4	g i: N _1 . j 6 n _4
惠明	wai6ming4	w 6j _6 . m i: N _4
惰性	do6sing3	d O: _6 . s i: N _3
想	seung2	s 9: N _2	s 9: N _5
想要	seung2yiu3	s 9: N _2 . j iw _3
想象	seung2jeung6	s 9: N _2 . dz 9: N _6
愁	sau4	s 6w _4
愈	yu6	j y: _6
愉快	yu4faai3	j y: _4 . f a:j _3
意义	yi3yi6	j i: _3 . j i: _6
意味	yi3mei6	j i: _3 . m ej _6
意外	yi3ngoi6	j i: _3 . N O:j _6
意大利	yi3daai6lei6	j i: _3 . d a:j _6 . l ej _6
意志力	yi3ji3lik6	j i: _3 . dz i: _3 . l i: k _6
愚者	yu4je2	j y: _4 . dz E: _2
感	gam2	g 6 m _2	g 6 n _2
感兴趣	gam2hing3cheui3	g 6 m _2 . h i: N _3 . ts 9y _3	g 6 n _2 . h i: N _3 . ts 9y _3
感动	gam2dung6	g 6 m _2 . d u: N _6	g 6 n _2 . d u: N _6
感受	gam2sau6	g 6 m _2 . s 6w _6	g 6 n _2 . s 6w _6
感受到	gam2sau6dou3	g 6 m _2 . s 6w _6 . d ow _3
感恩	gam2yan1	g 6 m _2 . j 6 n _1	g 6 n _2 . j 6 n _1
感情	gam2ching4	g 6 m _2 . ts i: N _4	g 6 n _2 . ts i: N _4
感激	gam2gik1	g 6 m _2 . g i: k _1
感觉	gam2gok3	g 6 m _2 . g O: k _3	g 6 n _2 . g O: k _3
愿意	yun6yi3	j y: n _6 . j i: _3
慈善	chi4sin6	ts i: _4 . s i: n _6
慢慢	maan6maan2	m a: n _6 . m a: n _2
慧玲	wai6ling4	w 6j _6 . l i: N _4
懂得	dung2dak1	d u: N _2 . d 6 k _1
戏子	hei3ji2	h ej _3 . dz i: _2
成	sing4	s i: N _4
成为	sing4wai4	s i: N _4 . w 6j _4
成交	sing4gaau1	s i: N _4 . g a:w _1
成功	sing4gung1	s i: N _4 . g u: N _1
成员国	sing4yun4gwok3	s i: N _4 . j y: n _4 . gw O: k _3
成就	sing4jau6	s i: N _4 . dz 6w _6
成绩	sing4jik1	s i: N _4 . dz i: k _1
成长	sing4jeung2	s i: N _4 . dz 9: N _2
我	ngo5	N O: _5
我们	ngo5mun4	N O: _5 . m u: n _4
我地	ngo5dei6	N O: _5 . d ej _6
或	waak6	w a: k _6
或者	waak6je2	w a: k _6 . dz E: _2
战	jin3	dz i: n _3
战争	jin3jang1	dz i: n _3 . dz 6 N _1
战国	jin3gwok3	dz i: n _3 . gw O: k _3
战胜	jin3sing3	dz i: n _3 . s i: N _3
戴安娜	daai3on1na4	d a:j _3 . N O: n _1 . n a: _4	d a:j _3 . O: n _1 . n a: _4
户	wu6	w u: _6
房地产	fong4dei6chaan2	f O: N _4 . d ej _6 . ts a: n _2
所	so2	s O: _2
所以	so2yi5	s O: _2 . j i: _5
所有	so2yau5	s O: _2 . j 6w _5
所谓	so2wai6	s O: _2 . w 6j _6
手	sau2	s 6w _2
手头	sau2tau4	s 6w _2 . t 6w _4
手机	sau2gei1	s 6w _2 . g ej _1
才	choi4	ts O:j _4
才能	choi4nang4	ts O:j _4 . n 6 N _4
打	da1	d a: _1
打击	da2gik1	d a: _2 . g i: k _1
打对台	da2deui3toi4	d a: _2 . d 9y _3 . t O:j _4
打滚	da2gwan2	d a: _2 . gw 6 n _2
打算	da2syun3	d a: _2 . s y: n _3
打跨	da2kwa1	d a: _2 . kw a: _1
打风	da2fung1	d a: _2 . f u: N _1
托	tok3	t O: k _3
执行	jap1hang4	dz 6 p _1 . h 6 N _4
扩张	kwong3jeung1	kw O: N _3 . dz 9: N _1
批发	pai1faat3	p 6j _1 . f a: t _3
找	jaau2	dz a:w _2
找到	jaau2dou3	dz a:w _2 . d ow _3
找寻	jaau2cham4	dz a:w _2 . ts 6 m _4
承认	sing4ying6	s i: N _4 . j i: N _6
承运人	sing4wan6yan4	s i: N _4 . w 6 n _6 . j 6 n _4
技巧	gei6haau2	g ej _6 . h a:w _2
技术	gei6seut6	g ej _6 . s 9: t _6
把	ba2	b a: _2
把握	ba2ngaak1	b a: _2 . N a: k _1
投	tau4	t 6w _4
投入	tau4yap6	t 6w _4 . j 6 p _6
投资	tau4ji1	t 6w _4 . dz i: _1
抗	kong3	k O: N _3
抗压	kong3ngaat3	k O: N _3 . N a: t _3
抗拒	kong3keui5	k O: N _3 . k 9y _5
抗生素	kong3sang1sou3	k O: N _3 . s 6 N _1 . s ow _3
抗衡	kong3hang4	k O: N _3 . h 6 N _4
抚养	fu2yeung5	f u: _2 . j 9: N _5
抚慰	fu2wai3	f u: _2 . w 6j _3
抚顺	fu2seun6	f u: _2 . s 9: n _6
抛开	paau1hoi1	p a:w _1 . h O:j _1
抛弃	paau1hei3	p a:w _1 . h ej _3
抢	cheung2	ts 9: N _2
护士	wu6si6	w u: _6 . s i: _6
护工	wu6gung1	w u: _6 . g u: N _1
护理	wu6lei5	w u: _6 . l ej _5
报	bou3	b ow _3
报复	bou3fuk6	b ow _3 . f u: k _6
报纸	bou3ji2	b ow _3 . dz i: _2
报道	bou3dou6	b ow _3 . d ow _6
抽	chau1	ts 6w _1
抽象	chau1jeung6	ts 6w _1 . dz 9: N _6
担心	daam1sam1	d a: m _1 . s 6 m _1
拉	laai1	l a:j _1	l a: _1
拖拖拉拉	to1to1laai1laai1	t O: _1 . t O: _1 . l a:j _1 . l a:j _1
拘谨	keui1gan2	k 9y _1 . g 6 n _2
拥有	yung2yau5	j y: N _2 . j 6w _5
拨	but6	b u: t _6
拿	na4	n a: _4
拿来	na4loi4	n a: _4 . l O:j _4
拿稳	na4wan2	n a: _4 . w 6 n _2
持卡人	chi4ka1yan4	ts i: _4 . k a: _1 . j 6 n _4
持有	chi4yau5	ts i: _4 . j 6w _5
持续	chi4juk6	ts i: _4 . dz u: k _6
挂念	gwa3nim6	gw a: _3 . n i: m _6
指	ji2	dz i: _2
指导	ji2dou6	dz i: _2 . d ow _6
指数	ji2sou3	dz i: _2 . s ow _3
按揭	on3kit3	O: n _3 . k i: t _3	O: n _3 . h i: t _3	N O: n _3 . k i: t _3	N O: n _3 . h i: t _3
挑起	tiu1hei2	t iw _1 . h ej _2
挚爱	ji3oi3	dz i: _3 . N O:j _3	dz i: _3 . O:j _3
挫败	cho3baai6	ts O: _3 . b a:j _6
损失	syun2sat1	s y: n _2 . s 6 t _1
损害	syun2hoi6	s y: n _2 . h O:j _6
换	wun6	w u: n _6
掌纹命理	jeung2man4ming6lei5	dz 9: N _2 . m 6 n _4 . m i: N _6 . l ej _5
排	paai4	p a:j _4
排出	paai4chuet1	p a:j _4 . ts u: E: t _1
排放	paai4fong3	p a:j _4 . f O: N _3
接	jip3	dz i: p _3
接受	jip3sau6	dz i: p _3 . s 6w _6
接纳	jip3naap6	dz i: p _3 . l a: p _6	dz i: p _3 . n a: p _6
接触	jip3juk1	dz i: p _3 . dz u: k _1	dz i: p _3 . ts u: k _1
接载	jip3joi2	dz i: p _3 . dz O:j _2
接近	jip3gan6	dz i: p _3 . g 6 n _6
控股	hung3gu2	h u: N _3 . g u: _2
推	teui1	t 9y _1
推动	teui1dung6	t 9y _1 . d u: N _6
措施	chou3si1	ts ow _3 . s i: _1
提	tai4	t 6j _4
提供	tai4gung1	t 6j _4 . g u: N _1
提倡	tai4cheung3	t 6j _4 . ts 9: N _3
提升	tai4sing1	t 6j _4 . s i: N _1
提款	tai4fun2	t 6j _4 . f u: n _2
提神	tai4san4	t 6j _4 . s 6 n _4
提醒	tai4seng2	t 6j _4 . s E: N _2
援助	wun4jo6	w u: n _4 . dz O: _6
搜索	sau2sok3	s 6w _2 . s O: k _3	s 6w _1 . s O: k _3
搜集	sau2jaap6	s 6w _1 . dz a: p _6	s 6w _2 . dz a: p _6
搞坏	gaau2waai6	g a:w _2 . w a:j _6
携带	kwai4daai3	kw 6j _4 . d a:j _3
摄制队	sip3jai3deui6	s i: p _3 . dz 6j _3 . d 9y _6
摄氏度	sip3si6dou6	s i: p _3 . s i: _6 . d ow _6
摆	baai2	b a:j _2
摩天大厦	mo1tin1daai6ha6	m O: _1 . t i: n _1 . d a:j _6 . h a: _6
擅用	sin6yung6	s i: n _6 . j y: N _6
操守	chou1sau2	ts ow _1 . s 6w _2	ts ow _3 . s 6w _2
操心	chou1sam1	ts ow _1 . s 6 m _1
支持	ji1chi4	dz i: _1 . ts i: _4
支离破碎	ji1lei4po3seui3	dz i: _1 . l ej _4 . p O: _3 . s 9y _3
收	sau1	s 6w _1
收入	sau1yap6	s 6w _1 . j 6 p _6
收获	sau1wok6	s 6w _1 . w O: k _6
收费	sau1fai3	s 6w _1 . f 6j _3
改	goi2	g O:j _2
改变	goi2bin3	g O:j _2 . b i: n _3
改善	goi2sin6	g O:j _2 . s i: n _6
改朝换代	goi2chiu4wun6doi6	g O:j _2 . ts iw _4 . w u: n _6 . d O:j _6
攻击性	gung1gik1sing3	g u: N _1 . g i: k _1 . s i: N _3
放	fong3	f O: N _3
放下	fong3ha6	f O: N _3 . h a: _6
放在	fong3joi6	f O: N _3 . dz O:j _6
放弃	fong3hei3	f O: N _3 . h ej _3
放缓	fong3wun4	f O: N _3 . w u: n _4	f O: N _3 . w u: n _6
政	jing3	dz i: N _3
政党	jing3dong2	dz i: N _3 . d O: N _2
政府	jing3fu2	dz i: N _3 . f u: _2
政权	jing3kyun4	dz i: N _3 . k y: n _4
政治	jing3ji6	dz i: N _3 . dz i: _6
政策	jing3chaak3	dz i: N _3 . ts a: k _3
效果	haau6gwo2	h a:w _6 . gw O: _2
效能	haau6nang4	h a:w _6 . n 6 N _4
敏感	man5gam2	m 6 n _5 . g 6 m _2	m 6 n _5 . g 6 n _2
救	gau3	g 6w _3
教	gaau3	g a:w _3
教导	gaau3dou6	g a:w _3 . d ow _6
教师	gaau3si1	g a:w _3 . s i: _1
教练	gaau3lin6	g a:w _3 . l i: n _6
教育	gaau3yuk6	g a:w _3 . j y: k _6
敢	gam2	g 6 m _2	g 6 n _2
散户	saan2wu6	s a: n _2 . w u: _6
数	sou2	s ow _2
数	sou3	s ow _3	s O: k _3
数字	sou3ji6	s ow _3 . dz i: _6
数学	sou3hok6	s ow _3 . h O: k _6
数据	sou3geui3	s ow _3 . g 9y _3
文	man4	m 6 n _4	m 6 n _2
文化	man4fa3	m 6 n _4 . f a: _3
文化遗产	man4fa3wai4chaan2	m 6 n _4 . f a: _3 . w 6j _4 . ts a: n _2
文字	man4ji6	m 6 n _4 . dz i: _6
文明	man4ming4	m 6 n _4 . m i: N _4
料理	liu6lei5	l iw _6 . l ej _5
斤斤计较	gan1gan1gai3gaau3	g 6 n _1 . g 6 n _1 . g 6j _3 . g a:w _3
斯	si1	s i: _1
新	san1	s 6 n _1
新加坡	san1ga3bo1	s 6 n _1 . g a: _3 . b O: _1	s 6 n _1 . g a: _3 . p O: _1
新疆	san1geung1	s 6 n _1 . g 9: N _1
新闻	san1man2	s 6 n _1 . m 6 n _2
方	fong1	f O: N _1
方便	fong1bin6	f O: N _1 . b i: n _6
方向	fong1heung3	f O: N _1 . h 9: N _3
方式	fong1sik1	f O: N _1 . s i: k _1
方惠玲	fong1wai6ling4	f O: N _1 . w 6j _6 . l i: N _4
方正	fong1jing3	f O: N _1 . dz i: N _3
方法	fong1faat3	f O: N _1 . f a: t _3
方言	fong1yin4	f O: N _1 . j i: n _4
方面	fong1min6	f O: N _1 . m i: n _6
施工	si1gung1	s i: _1 . g u: N _1
旁人	pong4yan4	p O: N _4 . j 6 n _4
旂客	kei4haak3	k ej _4 . h a: k _3
旅客	leui5haak3	l 9y _5 . h a: k _3
旅游	leui5yau4	l 9y _5 . j 6w _4
旅游业	leui5yau4yip6	l 9y _5 . j 6w _4 . j i: p _6
旅途	leui5tou4	l 9y _5 . t ow _4
无	mou4	m ow _4
无伤大雅	mou4seung1daai6nga5	m ow _4 . s 9: N _1 . d a:j _6 . N a: _5
无可奈何	mou4ho2noi6ho4	m ow _4 . h O: _2 . n O:j _6 . h O: _4
无奈	mou4noi6	m ow _4 . n O:j _6
无异	mou4yi6	m ow _4 . j i: _6
无法	mou4faat3	m ow _4 . f a: t _3
无限	mou4haan6	m ow _4 . h a: n _6
日	yat6	j 6 t _6
日子	yat6ji2	j 6 t _6 . dz i: _2
