ሀም	h1m6	h a m
አስቤልህ	?1s6b5l6h6	? a s . s 1 b . b e l . l 1 h
አስቤዋለሁ	?1s6b5w4l1h2	? a s . s 1 b . b e . w a l . l @ . h u
አስቤያለሁ	?1s6b5y4l1h2	? a s . s 1 b . b e . j a l . l @ . h u
አስቤያለሁኝ	?1s6b5y4l1h2J6	? a s . s 1 b . b e . j a l . l @ . h u J J
አስብለሽዋል	?1s6b6l1sh6w4l6	? a s . b 1 . l @ . S 1 . w a l l
አስብሻለሁ	?1s6b6sh4l1h2	? a s . s 1 . b 1 . S a l . l @ . h u
አስብያለሁ	?1s6b6y4l1h2	? a s . s 1 b . b 1 . j a l . l @ . h u
አስቧል	?1s6bw4l6	? a s . s 1 . bw a l
አስተማማኝ	?1s6t1m4m4J6	? a s . t @ . m a . m a J J
አስተማሪ	?1s6t1m4r3	? a s . t @ . m a . r i
አስተሳሰብ	?1s6t1s4s1b6	? a s . t @ . s a . s @ b
አስተካከልን	?1s6t1k4k1l6n6	? a s . t @ . k a k . k @ l n
አስተካክለሽ	?1s6t1k4k6l1sh6	? a s . t @ . k a k . l @ S
አስተካክለን	?1s6t1k4k6l1n6	? a s . t @ . k a k . l @ n
አስተካክላችሁ	?1s6t1k4k6l4c6h2	? a s . t @ . k a k . l a tS . tS 1 . h u
አስተካክል	?1s6t1k4k6l6	? a s . t @ . k a . k 1 l
አስተካክሎ	?1s6t1k4k6l7	? a s . t @ . k a k . l o
አስተዋውቅሻለሁ	?1s6t1w4w6K6sh4l1h2	? a s . t @ . w a w . w 1 k> . S a l . l @ . h u	? a s . t @ . w a w . w 1 . k> 1 . S a l . l @ . h u
አስተዳደጋቸው	?1s6t1d4d1g4c1w6	? a s . t @ . d a . d @ . g a tS . tS @ w
አስተዳደግ	?1s6t1d4d1g6	? a s . t @ . d a . d @ g
አስታወስከኝ	?1s6t4w1s6k1J6	? a s . t a w . w @ s . k @ J J
አስታውሰኝ	?1s6t4w6s1J6	? a s . t a w . s @ J J
አስታውሰዋለሁ	?1s6t4w6s1w4l1h2	? a s . t a w . w 1 . s @ . w a l . l @ . h u
አስታውስሻለሁ	?1s6t4w6s6sh4l1h2	? a s . t a w . w 1 s . S a l . l @ . h u
አስታውሶ	?1s6t4w6s7	? a s . t a w . s o
አስታውሽኝ	?1s6t4w6sh6J6	? a s . t a w . S 1 J J
አስቸኳይ	?1s6c1kw4y6	? a s . tS @ kw . kw a j
አስቸገረ	?1s6c1g1r1	? a s . tS @ g . g @ . r @
አስቸጋሪ	?1s6c1g4r3	? a s . tS @ g . g a . r i
አስቸጋሪነት	?1s6c1g4r3n1t6	? a s . tS @ g . g a . r i n . n @ t
አስቸግረውሀል	?1s6c1g6r1w6h1l6	? a s . tS @ g . g 1 . r @ w . h a l
አስቸግሮናል	?1s6c1g6r7n4l6	? a s . tS @ g . g 1 . r o . n a l
አስቸግሮኝ	?1s6c1g6r7J6	? a s . tS @ g . g 1 . r o J J
አስኔ	?1s6n5	? a s . n e
አስከፍተዋለሁ	?1s6k1f6t1w4l1h2	? a s . k @ f . f 1 . t @ . w a l . l @ . h u
አስክሬን	?1s6k6r5n6	? a s . k 1 . r e n
አስክሬኗ	?1s6k6r5nw4	? a s . k 1 . r e . nw a
አስኳል	?1s6kw4l6	? a s . kw a l
አስኳልማ	?1s6kw4l6m4	? a s . kw a . l 1 m . m a
አስወልዳለች	?1s6w1l6d4l1c6	? a s . w @ l . l 1 . d a l . l @ tS tS
አስወጥቶ	?1s6w1T6t7	? a s . w @ t> . t> 1 . t o
አስዬ	?1s6y5	? a . s 1 j . j e	? a s . s 1 j . j e
አስይዘናል	?1s6y6z1n4l6	? a s . j 1 . z @ . n a l
አስይዝልኛ	?1s6y6z6l6J4	? a s . j 1 . z 1 l . l 1 J . J a
አስይዞ	?1s6y6z7	? a s . j 1 . z o
አስገቡ	?1s6g1b2	? a s . g @ b . b u
አስገቢልኝ	?1s6g1b3l6J6	? a s . g @ b . b i l . l 1 J J
አስገባሁትና	?1s6g1b4h2t6n4	? a s . g @ b . b a . h u . t 1 n . n a
አስገባለሁ	?1s6g1b4l1h2	? a s . g @ b . b a l . l @ . h u
አስገባልሻለሁ	?1s6g1b4l6sh4l1h2	? a s . g @ b . b a l . l 1 . S a l . l @ . h u
አስገባሽ	?1s6g1b4sh6	? a s . g @ b . b a S
አስገባች	?1s6g1b4c6	? a s . g @ b . b a tS tS
አስገባችው	?1s6g1b4c6w6	? a s . g @ b . b a tS . tS 1 w
አስገባን	?1s6g1b4n6	? a s . g @ b . b a n
አስገባዋለሁ	?1s6g1b4w4l1h2	? a s . g @ b . b a . w a l . l @ . h u
አስገብቶ	?1s6g1b6t7	? a s . g @ b . b 1 . t o
አስገብቸው	?1s6g1b6c1w6	? a s . g @ b . b 1 tS . tS @ w
አስገብቻለሁ	?1s6g1b6c4l1h2	? a s . g @ b . b 1 tS . tS a l . l @ . h u
አስገብቼ	?1s6g1b6c5	? a s . g @ b . b 1 tS . tS e
አስጠልቶናል	?1s6T1l6t7n4l6	? a s . t> @ l . l 1 . t o . n a l
አስጠልቶኛል	?1s6T1l6t7J4l6	? a s . t> @ l . l 1 . t o J . J a l
አስጠናው	?1s6T1n4w6	? a s . t> @ n . n a w
አስጠንቅቃለች	?1s6T1n6K6K4l1c6	? a s . t> @ n . k> 1 . k> a l . l @ tS tS
አስጠፍቼ	?1s6T1f6c5	? a s . t> @ f . f 1 tS . tS e
አስጨረስናት	?1s6C1r1s6n4t6	? a s . tS> @ r . r @ s . n a t
አስጨርስልሀለሁ	?1s6C1r6s6l6h1l1h2	? a s . tS> @ r . r 1 . s 1 l . l 1 . h a l . l @ . h u
አስፈላጊ	?1s6f1l4g3	? a s . f @ l . l a . g i
አስፈላጊውን	?1s6f1l4g3w6n6	? a s . f @ l . l a . g i . w 1 n
አስፈልግ	?1s6f1l6g6	? a s . f @ l . l 1 g
አስፈጭላቸው	?1s6f1C6l4c1w6	? a s . f @ tS> . tS> 1 l . l a tS . tS @ w
አስፋልት	?1s6f4l6t6	? a s . f a l t
አስፋው	?1s6f4w6	? a s . f a w
አሶሴሽን	?1s7s5sh6n6	? a . s o . s e . S 1 n
አሸብር	?1sh1b6r6	? a S . S @ b . b 1 r
አሸነፈ	?1sh1n1f1	? a S . S @ n . n @ . f @
አሸነፈች	?1sh1n1f1c6	? a S . S @ n . n @ . f @ tS tS
አሸነፋችሁ	?1sh1n1f4c6h2	? a S . S @ n . n @ . f a tS . tS 1 . h u
አሸናፊ	?1sh1n4f3	? a S . S @ n . n a . f i
አሸንፏል	?1sh1n6fw4l6	? a S . S @ n . n 1 . fw a l
አሹ	?1sh2	? a S . S u
አሹየስ	?1sh2y1s6	? a . S u j . j @ s
አሻሽለውታል	?1sh4sh6l1w6t4l6	? a S . S a . S 1 . l @ . w 1 . t a l
አቀላቸዋለሁ	?1K1l4c1w4l1h2	? a . k> @ l . l a tS . tS @ . w a l . l @ . h u
አቀራረቡ	?1K1r4r1b2	? a . k> @ . r a r . r @ . b u	? a k> . k> @ . r a . r @ . b u
አቀራርቧል	?1K1r4r6bw4l6	? a . k> @ . r a r . bw a l	? a k> . k> @ . r a r . bw a l
አቀፍ	?1K1f6	? a k> . k> @ f
አቁሜያለሁ	?1K2m5y4l1h2	? a . k> u m . m e . j a l . l @ . h u
አቃለሁ	?1K4l1h2	? a . k> a l . l @ . h u
አቃቂ	?1K4K3	? a . k> a . k> i
አቃቂን	?1K4K3n6	? a . k> a . k> i n
አቅለታለሁ	?1K6l1t4l1h2	? a . k> 1 l . l @ . t a l . l @ . h u
አቅላቸዋለሁ	?1K6l4c1w4l1h2	? a . k> 1 l . l a tS . tS @ . w a l . l @ . h u
አቅሙ	?1K6m2	? a k> . m u
አቅሜን	?1K6m5n6	? a k> . m e n
አቅም	?1K6m6	? a . k> 1 m
አቅራቢያ	?1K6r4b3y4	? a k> . r a b . b i . j a
አቅርቦ	?1K6r6b7	? a k> . r 1 . b o
አቅርቦት	?1K6r6b7t6	? a . k> 1 r . b o t
አቅቶኝ	?1K6t7J6	? a k> . t o J
አቆመ	?1K7m1	? a . k> o . m @
አቆመው	?1K7m1w6	? a . k> o . m @ w
አቆማችኋልኮ	?1K7m4c6xw4l6k7	? a . k> o . m a tS . tS 1 . hw a l . l 1 k . k o
አቆምሽ	?1K7m6sh6	? a . k> o m S
አቆምሽው	?1K7m6sh6w6	? a . k> o m . S 1 w
አቋም	?1Kw4m6	? a . k>w a m
አቋርጣለሁ	?1Kw4r6T4l1h2	? a k>w . k>w a r . r 1 . t> a l . l @ . h u
አቋርጬ	?1Kw4r6C5	? a k>w . k>w a . r 1 tS> . tS> e
አበረታታው	?1b1r1t4t4w6	? a b . b @ . r @ . t a . t a w	? a b . b @ . r @ . t a t . t a w
አበራሽን	?1b1r4sh6n6	? a . b @ r . r a . S 1 n
አበራሽንም	?1b1r4sh6n6m6	? a . b @ r . r a S . n 1 m
አበሳጭቷታል	?1b1s4C6tw4t4l6	? a b . b @ . s a tS> . tw a . t a l
አበሾችም	?1b1sh7c6m6	? a . b @ . S o tS . tS 1 m m
አበቁ	?1b1K2	? a . b @ k> . k> u	? a b . b @ k> . k> u
አበቃ	?1b1K4	? a . b @ k> . k> a
አበበ	?1b1b1	? a b . b @ . b @
አበባ	?1b1b4	? a . b @ . b a
አበባም	?1b1b4m6	? a . b @ . b a m m
አበባው	?1b1b4w6	? a . b @ . b a w
አበደች	?1b1d1c6	? a b . b @ . d @ tS tS
አቡሼ	?1b2sh5	? a b . b u . S e
አቡሽ	?1b2sh6	? a b . b u S
አቢ	?1b3	? a b . b i
አቢስ	?1b3s6	? a b . b i s s
አቢሾዬ	?1b3sh7y5	? a b . b i . S o j . j e
አቢቲስ	?1b3t3s6	? a b . b i t . t i s
አቢዬ	?1b3y5	? a b . b i j . j e
አባ	?1b4	? a . b a	? a b . b a
አባባ	?1b4b4	? a b . b a b . b a	? a . b a b . b a
አባባም	?1b4b4m6	? a b . b a b . b a m
አባባስ	?1b4b4s6	? a b . b a b . b a s
አባባን	?1b4b4n6	? a b . b a b . b a n	? a . b a b . b a n
አባባንም	?1b4b4n6m6	? a b . b a b . b a . n 1 m
አባብዬ	?1b4b6y5	? a b . b a . b 1 j . j e
አባቱ	?1b4t2	? a b . b a . t u
አባቴ	?1b4t5	? a b . b a . t e
አባቴም	?1b4t5m6	? a b . b a . t e m
አባት	?1b4t6	? a b . b a t
አባትህ	?1b4t6h6	? a b . b a . t 1 h
አባትሽ	?1b4t6sh6	? a b . b a . t 1 S
አባቷን	?1b4tw4n6	? a b . b a . tw a n
አባወራ	?1b4w1r4	? a b . b a . w @ r . r a
አባዜ	?1b4z5	? a . b a . z e
አባዝቼ	?1b4z6c5	? a . b a . z 1 tS . tS e	? a b . b a . z 1 tS . tS e
አባዬ	?1b4y5	? a b . b a j . j e	? a . b a j . j e
አባዬስ	?1b4y5s6	? a b . b a j . j e s s	? a . b a j . j e s s
አባይነህ	?1b4y6n1h6	? a b . b a j . n @ h
አባይነው	?1b4y6n1w6	? a b . b a j . n @ w	? a . b a j . n @ w
አባይና	?1b4y6n4	? a b . b a . j 1 n . n a	? a . b a . j 1 n . n a
አባይንም	?1b4y6n6m6	? a b . b a j . n 1 m m	? a . b a j . n 1 m m
አቤ	?1b5	? a b . b e
አቤል	?1b5l6	? a . b e l
አቤልን	?1b5l6n6	? a . b e . l 1 n
አቤሎ	?1b5l7	? a . b e . l o
አቤስ	?1b5s6	? a b . b e s
አቤት	?1b5t6	? a . b e t
አብ	?1b6	? a b
አብረህ	?1b6r1h6	? a . b 1 r . r @ h	? a b . r @ h
አብረሽ	?1b6r1sh6	? a . b 1 r . r @ S	? a b . r @ S
አብረሽኝ	?1b6r1sh6J6	? a . b 1 r . r @ . S 1 J J	? a b . r @ . S 1 J J
አብረን	?1b6r1n6	? a b . r @ n
አብረው	?1b6r1w6	? a b . r @ w
አብራ	?1b6r4	? a b . b 1 . r a	? a b . r a
አብራችሁ	?1b6r4c6h2	? a b . r a tS . tS 1 . h u
አብሬ	?1b6r5	? a . b 1 r . r e
አብሬህ	?1b6r5h6	? a . b 1 r . r e h
አብሬው	?1b6r5w6	? a . b 1 r . r e w
አብርሀ	?1b6r6h1	? a b . r 1 . h a
አብርሀም	?1b6r6h1m6	? a b . r 1 . h a m
አብርሽ	?1b6r6sh6	? a b . r 1 S
አብሮ	?1b6r7	? a b . r o
አብሮሽ	?1b6r7sh6	? a b . r o S
አብሮን	?1b6r7n6	? a b . r o n
አብሮኝ	?1b6r7J6	? a b . r o J
አብሯችሁ	?1b6rw4c6h2	? a b . rw a tS . tS 1 . h u
አብሽ	?1b6sh6	? a . b 1 S
አብሽር	?1b6sh6r6	? a b . S 1 r
አብትሽም	?1b6t6sh6m6	? a . b 1 t . S 1 m
አብነትም	?1b6n1t6m6	? a . b 1 n . n @ . t 1 m
አብዛኛው	?1b6z4J4w6	? a b . z a J . J a w
አብዛኛዎቹ	?1b6z4J4w7c2	? a b . z a J . J a . w o tS . tS u
አብይ	?1b6y6	? a . b 1 j j
አብዱልካፍ	?1b6d2l6k4f6	? a b . d u l . k a f
አብዱካፊ	?1b6d2k4f3	? a b . d u . k a . f i
አብዱካፊን	?1b6d2k4f3n6	? a b . d u . k a . f i n
አቦ	?1b7	? a . b o
አቦዘነች	?1b7z1n1c6	? a . b o z . z @ . n @ tS tS
አቦዝና	?1b7z6n4	? a . b o z . z 1 . n a
አቧራ	?1bw4r4	? a . bw a . r a
አተላን	?1t1l4n6	? a . t @ . l a n
አተሽ	?1t1sh6	? a t . t @ S
አተው	?1t1w6	? a t . t @ w
አታልፍም	?1t4l6f6m6	? a t . t a l . f 1 m m
አታስቀኝ	?1t4s6K1J6	? a t . t a s . s 1 . k> @ J J
አታስቢ	?1t4s6b3	? a t . t a s . b i
አታስደንቁሪኝ	?1t4s6d1n6K2r3J6	? a t . t a s . d @ n . k> u . r i J J
አታስጨርሽኝ	?1t4s6C1r6sh6J6	? a t . t a s . tS> @ r . r 1 . S 1 J
አታቂኝም	?1t4K3J6m6	? a t . t a . k> i J . J 1 m
አታብዙ	?1t4b6z2	? a t . t a b . z u
አታብዛ	?1t4b6z4	? a t . t a b . z a
አታነሽም	?1t4n1sh6m6	? a t . t a . n @ . S 1 m
አታነቢም	?1t4n1b3m6	? a t . t a . n @ b . b i m	? a t . t a . n @ . b i m
አታከብርም	?1t4k1b6r6m6	? a t . t a . k @ b . r 1 m
አታወሪኝም	?1t4w1r3J6m6	? a t . t a . w @ . r i J . J 1 m
አታወራትም	?1t4w1r4t6m6	? a t . t a . w @ . r a . t 1 m m
አታዋይኝም	?1t4w4y6J6m6	? a t . t a w . w a j . j 1 J . J 1 m
አታውራ	?1t4w6r4	? a t . t a w . r a
አታውቀውም	?1t4w6K1w6m6	? a t . t a w . k> @ . w u m
አታውቂም	?1t4w6K3m6	? a t . t a w . k> i m
አታውቂውም	?1t4w6K3w6m6	? a t . t a w . k> i . w 1 m m
አታውቂያት	?1t4w6K3y4t6	? a t . t a w . k> i . j a t
አታውቃትም	?1t4w6K4t6m6	? a t . t a w . k> a . t 1 m
አታውቃቸውም	?1t4w6K4c1w6m6	? a t . t a w . k> a tS . tS @ . w 1 m m
አታውቅ	?1t4w6K6	? a t . t a w k>
አታውቅም	?1t4w6K6m6	? a t . t a w . k> 1 m m
አታዝንም	?1t4z6n6m6	? a t . t a z . n 1 m
አታየውም	?1t4y1w6m6	? a t . t a . j @ . w 1 m
አታዩም	?1t4y2m6	? a t . t a . j u m
አታይም	?1t4y6m6	? a t . t a . j 1 m m
አታደርገውም	?1t4d1r6g1w6m6	? a t . t a . d @ r . g @ . w 1 m m
አታደርጊም	?1t4d1r6g3m6	? a t . t a . d @ r . g i m
አታድማስ	?1t4d6m4s6	? a t . t a d . m a s
አታድርገው	?1t4d6r6g1w6	? a t . t a . d 1 r . g @ w
አታገላብጠው	?1t4g1l4b6T1w6	? a t . t a g . g @ . l a b . t> @ w
አታገኚኝም	?1t4g1J3J6m6	? a t . t a . g @ J . J i J . J 1 m m
አታገኛትም	?1t4g1J4t6m6	? a t . t a . g @ J . J a . t 1 m m
አታገኝም	?1t4g1J6m6	? a t . t a . g @ J . J 1 m m
አታግዘኝም	?1t4g6z1J6m6	? a t . t a g . g 1 . z @ J . J 1 m
አታግዟቸውም	?1t4g6zw4c1w6m6	? a t . t a g . g 1 . zw a tS . tS @ . w 1 m
አታፍሪም	?1t4f6r3m6	? a t . t a f . r i m
አት	?1t6	? a t
አትሁኝ	?1t6h2J6	? a t . t 1 . h u J
አትሄድማ	?1t6h5d6m4	? a t . t 1 . h e . d 1 m . m a
አትሄድም	?1t6h5d6m6	? a t . t 1 . h e . d 1 m m
አትሄጂ	?1t6h5j3	? a t . t 1 . h e . dZ i
አትሄጂም	?1t6h5j3m6	? a t . t 1 . h e . dZ i m m
አትሆንም	?1t6h7n6m6	? a t . t 1 . h o . n 1 m m
አትለኝም	?1t6l1J6m6	? a t . t 1 . l @ J . J 1 m m
አትለወጥም	?1t6l1w1T6m6	? a t . t 1 l . l @ w . w @ . t> 1 m
አትለፍልፊ	?1t6l1f6l6f3	? a t . t 1 . l @ f . l 1 . f i
አትሉም	?1t6l2m6	? a t . t 1 . l u m m
አትላትም	?1t6l4t6m6	? a t . t 1 . l a . t 1 m
አትል	?1t6l6	? a t . t 1 l
አትልም	?1t6l6m6	? a t . t 1 . l 1 m m
አትልበስ	?1t6l6b1s6	? a t . t 1 l . b @ s
አትሔጅም	?1t6H5j6m6	? a t . h e . dZ 1 m	? a t . t 1 . h e . dZ 1 m
አትመለስም	?1t6m1l1s6m6	? a t . t 1 . m @ l . l @ . s 1 m
አትመልሺም	?1t6m1l6sh3m6	? a t . m @ l . l 1 . S i m m
አትመጣ	?1t6m1T4	? a t . t 1 . m @ . t> a
አትመጣም	?1t6m1T4m6	? a t . m @ . t> a m m
አትመጪ	?1t6m1C3	? a t . t 1 . m @ . tS> i
አትመጭ	?1t6m1C6	? a t . m @ tS>	? a t . t 1 . m @ tS>
አትመጭም	?1t6m1C6m6	? a t . m @ . tS> 1 m m	? a t . m @ tS> . tS> 1 m m
አትማሪም	?1t6m4r3m6	? a t . t 1 m . m a . r i m m
አትምጣ	?1t6m6T4	? a t . t 1 m . t> a
አትሞክሪም	?1t6m7k6r3m6	? a t . m o k . k 1 . r i m	? a t . t 1 . m o k . k 1 . r i m
አትሰማሽም	?1t6s1m4sh6m6	? a t . t 1 . s @ . m a . S 1 m
አትሰሪውም	?1t6s1r3w6m6	? a t . s @ . r i . w 1 m	? a t . t 1 . s @ . r i . w 1 m
አትሰጠውም	?1t6s1T1w6m6	? a t . s @ . t> @ . w 1 m	? a t . t 1 . s @ . t> @ . w 1 m
አትሰጥሽም	?1t6s1T6sh6m6	? a t . s @ t> . S 1 m	? a t . t 1 . s @ t> . S 1 m	? a t . t 1 s . s @ t> . t> 1 . S 1 m
አትስማማም	?1t6s6m4m4m6	? a . t 1 s . m a m . m a m
አትስደቢው	?1t6s6d1b3w6	? a t . t 1 s . d @ . b i w
አትስጥ	?1t6s6T6	? a t . t 1 . s 1 t>
አትስጫቸው	?1t6s6C4c1w6	? a t . t 1 s . tS> a tS . tS @ w
አትቀልድ	?1t6K1l6d6	? a t . k> @ l . l 1 d
አትቀርም	?1t6K1r6m6	? a t . k> @ . r 1 m m
አትቀባጥሪ	?1t6K1b4T6r3	? a t . k> @ . b a t> . r i	? a t . t 1 . k> @ . b a t> . r i
አትቀውጠውም	?1t6K1w6T1w6m6	? a t . k> @ w . w 1 . t> @ . w 1 m	? a t . t 1 . k> @ w . w 1 . t> @ . w 1 m
አትቀጥልም	?1t6K1T6l6m6	? a t . k> @ t> . t> 1 . l 1 m	? a t . t 1 . k> @ t> . t> 1 . l 1 m
አትቆይም	?1t6K7y6m6	? a t . k> o j . j 1 m	? a t . t 1 . k> o j . j 1 m
አትቆጭም	?1t6K7C6m6	? a t . t 1 k> . k> o tS> . tS> 1 m
አትበለኝ	?1t6b1l1J6	? a t . b @ . l @ J	? a t . t 1 . b @ . l @ J
አትበሉ	?1t6b1l2	? a t . t 1 . b @ . l u	? a t . b @ . l u	? a t . t 1 b . b @ l . l u
አትበል	?1t6b1l6	? a t . b @ l
አትበረችም	?1t6b1r1c6m6	? a t . b @ . r @ tS . tS 1 m	? a t . t 1 . b @ . r @ tS . tS 1 m
አትበይ	?1t6b1y6	? a t . t 1 . b @ j
አትተናነስም	?1t6t1n4n1s6m6	? a t . t 1 t . t @ . n a n . n @ . s 1 m m
አትታሚም	?1t6t4m3m6	? a t . t 1 t . t a m . m i m
አትታየኝም	?1t6t4y1J6m6	? a t . t 1 t . t a j . j @ J . J 1 m m
አትችሉም	?1t6c6l2m6	? a t . t 1 . tS 1 . l u m m
አትችይውም	?1t6c6y6w6m6	? a t . t 1 . tS 1 . j 1 . w 1 m m
አትነሳም	?1t6n1s4m6	? a t . t 1 n . n @ s . s a m m
አትነካኪ	?1t6n1k4k3	? a t . t 1 n . n @ . k a . k i	? a t . t 1 . n @ . k a . k i
አትነግሪኝም	?1t6n1g6r3J6m6	? a t . n @ g . r i J . J 1 m m
አትነፋም	?1t6n1f4m6	? a t . n @ . f a m m
አትናቅ	?1t6n4K6	? a t . t 1 . n a k>	? a t . t 1 n . n a k>
አትናገሪም	?1t6n4g1r3m6	? a t . t 1 n . n a g . g @ . r i m m
አትናፍቅም	?1t6n4f6K6m6	? a t . n a f . f 1 . k> 1 m m
አትኖር	?1t6n7r6	? a t . t 1 . n o r
አትወልጂም	?1t6w1l6j3m6	? a t . t 1 . w @ l . dZ i m m
አትወራረድም	?1t6w1r4r1d6m6	? a t . t 1 w . w @ . r a r . r @ . d 1 m m
አትወጡም	?1t6w1T2m6	? a t . w @ . t> u m m
አትወጪም	?1t6w1C3m6	? a t . t 1 . w @ . tS> i m m
አትውጡ	?1t6w6T2	? a t . t 1 w . t> u
አትዝጋው	?1t6z6g4w6	? a t . t 1 z . g a w
አትያትም	?1t6y4t6m6	? a t . t 1 . j a . t 1 m m
አትያቸውም	?1t6y4c1w6m6	? a t . t 1 . j a tS . tS @ . w 1 m m
አትያዝ	?1t6y4z6	? a t . t 1 . j a z	? a t . t 1 j . j a z
አትይ	?1t6y6	? a t . t 1 j
አትይም	?1t6y6m6	? a t . t 1 . j 1 m m
አትይኝም	?1t6y6J6m6	? a t . t 1 . j 1 J . J 1 m m
አትይዉም	?1t6y6w2m6	? a t . t 1 . j 1 . w u m
አትይዘውም	?1t6y6z1w6m6	? a t . j 1 . z @ . w 1 m m
አትደብቂ	?1t6d1b6K3	? a t . t 1 . d @ b . b 1 . k> i
አትደዋወሉም	?1t6d1w4w1l2m6	? a t . t 1 d . d @ . w a w . w @ . l u m m
አትደውልልሽም	?1t6d1w6l6l6sh6m6	? a t . t 1 . d @ w . w 1 . l 1 l . l 1 . S 1 m m
አትደውልም	?1t6d1w6l6m6	? a t . d @ w . w 1 . l 1 m m
አትደውይ	?1t6d1w6y6	? a t . d @ w . w 1 j
አትደውይለትም	?1t6d1w6y6l1t6m6	? a t . t 1 . d @ w . w 1 . j 1 l . l @ . t 1 m m
አትደውይልኝም	?1t6d1w6y6l6J6m6	? a t . t 1 . d @ w . w 1 . j 1 l . l 1 J . J 1 m m
አትደውይም	?1t6d1w6y6m6	? a t . d @ w . w 1 . j 1 m m
አትገቢም	?1t6g1b3m6	? a t . t 1 g . g @ b . b i m m	? a t . t 1 . g @ . b i m m
አትገባም	?1t6g1b4m6	? a t . g @ . b a m m	? a t . t 1 g . g @ b . b a m m
አትገናኙ	?1t6g1n4J2	? a t . t 1 g . g @ . n a J . J u
አትገናኙም	?1t6g1n4J2m6	? a t . t 1 g . g @ . n a J . J u m m
አትጋብዘኝም	?1t6g4b6z1J6m6	? a t . t 1 . g a b . b 1 . z @ J . J 1 m m
አትግቡ	?1t6g6b2	? a t . t 1 g . b u
አትግፊው	?1t6g6f3w6	? a t . t 1 g . f i w
አትጠቀምም	?1t6T1K1m6m6	? a t . t 1 t> . t> @ k> . k> @ . m 1 m m
አትጠይቅም	?1t6T1y6K6m6	? a t . t 1 . t> @ j . j 1 . k> 1 m m
አትጣይው	?1t6T4y6w6	? a t . t 1 . t> a . j 1 w	? a t . t 1 t> . t> a . j 1 w
አትጥፉ	?1t6T6f2	? a t . t 1 t> . f u
አትጥፊ	?1t6T6f3	? a t . t 1 t> . f i
አትጥፋ	?1t6T6f4	? a t . t 1 t> . f a
አትጨርሺው	?1t6C1r6sh3w6	? a t . t 1 . tS> @ r . r 1 . S i w
አትጨናነቅ	?1t6C1n4n1K6	? a t . t 1 tS> . tS> @ . n a . n @ k>
አትፈልጊም	?1t6f1l6g3m6	? a t . f @ l . l 1 . g i m m
አትፈልጊውም	?1t6f1l6g3w6m6	? a t . f @ l . l 1 . g i . w 1 m m
አትፈልግም	?1t6f1l6g6m6	? a t . f @ l . l 1 . g 1 m m
አቶ	?1t7	? a t . t o
አቻ	?1c4	? a tS . tS a
አችለውም	?1c6l1w6m6	? a tS . tS 1 . l @ . w 1 m m
አችል	?1c6l6	? a tS . tS 1 l
አችልም	?1c6l6m6	? a tS . tS 1 . l 1 m m
አችይም	?1c6y6m6	? a tS . tS 1 . j 1 m m
አነሳና	?1n1s4n4	? a . n @ s . s a n . n a
አነስ	?1n1s6	? a . n @ s s
አነበብሽ	?1n1b1b6sh6	? a . n @ b . b @ . b 1 S
አነባለሁ	?1n1b4l1h2	? a . n @ b . b a l . l @ . h u	? a . n @ . b a l . l @ . h u
አነጋገሩ	?1n1g4g1r2	? a n . n @ . g a . g @ . r u	? a n . n @ . g a g . g @ . r u
አነጋገራችንን	?1n1g4g1r4c6n6n6	? a n . n @ . g a . g @ . r a tS . tS 1 . n 1 n
አነጋግረው	?1n1g4g6r1w6	? a n . n @ . g a g . r @ w
አነጋግሪያለሁ	?1n1g4g6r3y4l1h2	? a n . n @ . g a . g 1 . r i . j a l . l @ . h u
አነጋግራቸዋለሁኝ	?1n1g4g6r4c1w4l1h2J6	? a n . n @ . g a g . g 1 . r a tS . tS @ . w a l . l @ . h u J J
አኒካ	?1n3k4	? a . n i . k a
አኒካም	?1n3k4m6	? a . n i . k a m
አናመቻች	?1n4m1c4c6	? a n . n a m . m @ . tS a tS tS
አናረግም	?1n4r1g6m6	? a n . n a . r @ . g 1 m m
አናቅም	?1n4K6m6	? a n . n a . k> 1 m m
አናበዛም	?1n4b1z4m6	? a n . n a . b @ . z a m m
አናንቀኸዋል	?1n4n6K1kx1w4l6	? a n . n a . n 1 . k> @ . h @ . w a l
አናወራም	?1n4w1r4m6	? a n . n a . w @ . r a m m
አናወራውም	?1n4w1r4w6m6	? a n . n a . w @ . r a . w 1 m m
አናውቅ	?1n4w6K6	? a n . n a w k>
አናውቅም	?1n4w6K6m6	? a n . n a w . k> 1 m m
አናውንስመንት	?1n4w6n6s6m1n6t6	? a n . n a . w 1 n s . m @ n t
አናያቸውም	?1n4y4c1w6m6	? a n . n a . j a tS . tS @ . w 1 m m
አናዶኝ	?1n4d7J6	? a n . n a d . d o J J
አናገረኝ	?1n4g1r1J6	? a n . n a g . g @ . r @ J J
አናገሩት	?1n4g1r2t6	? a n . n a g . g @ . r u t
አናገርከኝ	?1n4g1r6k1J6	? a n . n a g . g @ r . k @ J J
አናገርኩት	?1n4g1r6k2t6	? a n . n a g . g @ r . k u t
አናገርኳቸው	?1n4g1r6kw4c1w6	? a n . n a g . g @ r . kw a tS . tS @ w
አናገኘውም	?1n4g1J1w6m6	? a n . n a . g @ J . J @ . w 1 m m
አናግረኝ	?1n4g6r1J6	? a n . n a g . r @ J J
