<hes>	a:6
go3jo2kei4	g O:3 dz O:2 k ej4
go3lin4	g O:3 l i:4 n
go3dou6	g O:3 d ow6
go3keung5	g O:3 k 9:5 N
go3dak1	g O:3 d 61 k
go3dak1heui3	g O:3 d 61 k h 9y3
go3yi3	g O:3 j i:3
go3gan2	g O:3 g 62 n
go3man5	g O:3 m 65 n
go3yat6ji2	g O:3 j 66 t dz i:2
go3maan5	g O:3 m a:5 n
go3kei4	g O:3 k ej4
go3loi4	g O:3 l O:j4
go3loi4yan4	g O:3 l O:j4 j 64 n
go3kiu4	g O:3 k iw4
go3jong1	g O:3 dz O:1 N
go3gong1	g O:3 g O:1 N
go3gong1daai6dou6	g O:3 g O:1 N d a:j6 d ow6
go3hoi2	g O:3 h O:j2
go3dou6	g O:3 d ow6
go3leui6	g O:3 l 9y6
go3leui6hei3	g O:3 l 9y6 h ej3
go3yan5	g O:3 j 65 n
go3yan5ha5	g O:3 j 65 n h a:5
go3baak3	g O:3 b a:3 k
go3ngaan5	g O:3 N a:5 n
go3ching4	g O:3 ts i:4 N
go3lung4	g O:3 l u:4 N
go3gan2lai4	g O:3 g 62 n l 6j4
go3jit3	g O:3 dz i:3 t
go3jan6si4	g O:3 dz 66 n s i:4
go3lung4	g O:3 l u:4 N
maai6tang4	m a:j6 t 64 N
ying4	j i:4 N
ying4ban1gun2	j i:4 N b 61 n g u:2 n
wan6	w 66 n
wan6jok3	w 66 n dz O:3 k
wan6dung6	w 66 n d u:6 N
wan6dung6ha5	w 66 n d u:6 N h a:5
wan6dung6wui5	w 66 n d u:6 N w u:j5
wan6dung6yun4	w 66 n d u:6 N j y:4 n
wan6dung6leung6	w 66 n d u:6 N l 9:6 N
wan6hei3	w 66 n h ej3
wan6hang4	w 66 n h 64 N
wan6fai3	w 66 n f 6j3
wan6syu1	w 66 n s y:1
gan6	g 66 n
gan6fong3	g 66 n f O:3 N
gan6chyu4dak1sik6	g 66 n ts y:4 d 61 k s i:6 k
kan5m4kan5	k 65 n m4 k 65 n
gan6paai4	g 66 n p a:j4
gan6yat6	g 66 n j 66 t
gan6kei4	g 66 n k ej4
gan6loi4	g 66 n l O:j4
gan6hoi2	g 66 n h O:j2
gan6si6	g 66 n s i:6
gan6si6ngaan5	g 66 n s i:6 N a:5 n
kan5kan5	k 65 n k 65 n
kan5kan5dei2	k 65 n k 65 n d ej2
gan6gaau1	g 66 n g a:w1
kan5geng3	k 65 n g E:3 N
faan1	f a:1 n
faan1seung5	f a:1 n s 9:5 N
faan1ha5	f a:1 n h a:5
faan1ha5lei4	f a:1 n h a:5 l ej4
faan1yap6	f a:1 n j 66 p
faan1yap6heui3	f a:1 n j 66 p h 9y3
faan1yap6lai4	f a:1 n j 66 p l 6j4
faan1dou3	f a:1 n d ow3
faan1dou3heui3	f a:1 n d ow3 h 9y3
faan1dou3lai4	f a:1 n d ow3 l 6j4
faan1dou3hok6	f a:1 n d ow3 h O:6 k
faan1dou3loi4	f a:1 n d ow3 l O:j4
faan2heui3	f a:2 n h 9y3
faan1heui3dou2	f a:1 n h 9y3 d ow2
faan1m4	f a:1 n m4
faan1m4dou2	f a:1 n m4 d ow2
faan1m4dou2heui3	f a:1 n m4 d ow2 h 9y3
faan1m4faan1	f a:1 n m4 f a:1 n
faan1m4faan1dou2	f a:1 n m4 f a:1 n d ow2
faan1m4faan1heui3	f a:1 n m4 f a:1 n h 9y3
faan1m4faan1lai4	f a:1 n m4 f a:1 n l 6j4
faan1m4faan1hok6	f a:1 n m4 f a:1 n h O:6 k
faan1m4faan1uk1kei5	f a:1 n m4 f a:1 n u:1 k k ej5
faan1m4faan1gung1	f a:1 n m4 f a:1 n g u:1 N
faan1lai4	f a:1 n l 6j4
faan1wui4tau4	f a:1 n w u:j4 t 6w4
faan1maai4	f a:1 n m a:j4
faan1ye6baan1	f a:1 n j E:6 b a:1 n
faan1tau4	f a:1 n t 6w4
faan1hok6	f a:1 n h O:6 k
faan1yun4hok6	f a:1 n j y:4 n h O:6 k
faan1yun4gung1	f a:1 n j y:4 n g u:1 N
faan1uk1kei5	f a:1 n u:1 k k ej5
faan1gung1	f a:1 n g u:1 N
faan1jo2heui3	f a:1 n dz O:2 h 9y3
faan1jo2hok6	f a:1 n dz O:2 h O:6 k
faan1jo2uk1kei2	f a:1 n dz O:2 u:1 k k ej2
faan1jo2gung1	f a:1 n dz O:2 g u:1 N
faan1dak1dou2	f a:1 n d 61 k d ow2
faan1dak1heui3	f a:1 n d 61 k h 9y3
faan1dak1lai4	f a:1 n d 61 k l 6j4
faan1gan2heui3	f a:1 n g 62 n h 9y3
faan1gan2hok6	f a:1 n g 62 n h O:6 k
faan1gan2gung1	f a:1 n g 62 n g u:1 N
faan2loi4	f a:2 n l O:j4
faan1saang1	f a:1 n s a:1 N
faan1faan1	f a:1 n f a:1 n
faan1gan2	f a:1 n g 62 n
faan1gan2heui3	f a:1 n g 62 n h 9y3
faan1jyun2tau4	f a:1 n dz y:2 n t 6w4
faan1go3uk1kei2	f a:1 n g O:3 u:1 k k ej2
faan2faan1lai4	f a:2 n f a:1 n l 6j4
waan4	w a:4 n
waan4syu1	w a:4 n s y:1
waan4gik1	w a:4 n g i:1 k
waan4yun4	w a:4 n j y:4 n
waan4hou2	w a:4 n h ow2
waan4dim6	w a:4 n d i:6 m
waan4si6	w a:4 n s i:6
waan4fun2	w a:4 n f u:2 n
waan4fun2kei4	w a:4 n f u:2 n k ej4
waan4syun3	w a:4 n s y:3 n
waan4hai6	w a:4 n h 6j6
waan4taai3	w a:4 n t a:j3
waan4chin2	w a:4 n ts i:2 n
je3	dz E:3
je5yeung6	dz E:5 j 9:6 N
je5yeung6ji2	dz E:5 j 9:6 N dz i:2
jeun3	dz 9:3 n
jeun3ha5bou2	dz 9:3 n h a:5 b ow2
jeun3sau1	dz 9:3 n s 6w1
jeun3yap6	dz 9:3 n j 66 p
jeun3yap6heui3	dz 9:3 n j 66 p h 9y3
jeun3hau2	dz 9:3 n h 6w2
jeun3cheung4	dz 9:3 n ts 9:4 N
jeun3bou6	dz 9:3 n b ow6
jeun3hang4	dz 9:3 n h 64 N
jeun3fo3	dz 9:3 n f O:3
jeun3teui3leung5naan6	dz 9:3 n t 9y3 l 9:5 N n a:6 n
jeun3jyu3	dz 9:3 n dz y:3
yun5	j y:5 n
yun5dou3	j y:5 n d ow3
yun5gu2	j y:5 n g u:2
yun5m4yun5	j y:5 n m4 j y:5 n
yun5dak1jai6	j y:5 n d 61 k dz 6j6
yun5lou6	j y:5 n l ow6
yun5tou4	j y:5 n t ow4
wai4	w 6j4
wai4jeung1	w 6j4 dz 9:1 N
wai4kwai1	w 6j4 kw 6j1
lin4	l i:4 n
lin4tai2	l i:4 n t 6j2
lin4maai4	l i:4 n m a:j4
lin4saan1	l i:4 n s a:1 n
lin4jau1	l i:4 n dz 6w1
lin4jip3	l i:4 n dz i:3 p
lin4jip3m4dou2	l i:4 n dz i:3 p m4 d ow2
lin4jip3m4sing4	l i:4 n dz i:3 p m4 s i:4 N
lin4jip3dak1seung5	l i:4 n dz i:3 p d 61 k s 9:5 N
lin4jip3dak1dou2	l i:4 n dz i:3 p d 61 k d ow2
lin4mou4gaam3si2	l i:4 n m ow4 g a:3 m s i:2
lin4jau1	l i:4 n dz 6w1
lin4juk6	l i:4 n dz u:6 k
lin4juk6kek6	l i:4 n dz u:6 k k E:6 k
lin4gun3	l i:4 n g u:3 n
lin4lin4toi4	l i:4 n l i:4 n t O:j4
lin4so2	l i:4 n s O:2
chi4	ts i:4
chi4ha2	ts i:4 h a:2
chi4dou3	ts i:4 d ow3
chi4m4chi4dou3	ts i:4 m4 ts i:4 d ow3
chi4jou2	ts i:4 dz ow2
chi4wun6	ts i:4 w u:6 n
chi4chi4dei6	ts i:4 ts i:4 d ej6
chi4deun6	ts i:4 d 9:6 n
chi4jan6	ts i:4 dz 66 n
chi4deun6	ts i:4 d 9:6 n
dik6si6nei4	d i:6 k s i:6 n ej4
dik6si6nei4lok6yun4	d i:6 k s i:6 n ej4 l O:6 k j y:4 n
baak1	b a:1 k
bik1bat1dak1yi5	b i:1 k b 61 t d 61 k j i:5
mai4	m 6j4
mai4lei5	m 6j4 l ej5
mai4choi2	m 6j4 ts O:j2
mai4mong5	m 6j4 m O:5 N
jeui1	dz 9y1
jeui1ha2	dz 9y1 h a:2
jeui1dou2	dz 9y1 d ow2
jeui1m4seung5	dz 9y1 m4 s 9:5 N
jeui1m4dou3	dz 9y1 m4 d ow3
jeui1m4hei2	dz 9y1 m4 h ej2
jeui1maai4	dz 9y1 m a:j4
jeui1hoi1	dz 9y1 h O:j1
jeui1sing1yat1juk6	dz 9y1 s i:1 N j 61 t dz u:6 k
jeui1loi4jeui1heui3	dz 9y1 l O:j4 dz 9y1 h 9y3
jeui1kau4	dz 9y1 k 6w4
jeui1gan2	dz 9y1 g 62 n
jeui1jung1hei3	dz 9y1 dz u:1 N h ej3
teui3	t 9y3
teui3ng5	t 9y3 N5
teui3yau1	t 9y3 j 6w1
teui3yau1gam1	t 9y3 j 6w1 g 61 m
teui3bou2	t 9y3 b ow2
teui3daan1	t 9y3 d a:1 n
teui3maai4yau1	t 9y3 m a:j4 j 6w1
teui3suk1	t 9y3 s u:1 k
teui3jo2yau1	t 9y3 dz O:2 j 6w1
teui3si5	t 9y3 s i:5
teui3fong2	t 9y3 f O:2 N
teui3gan2yau1	t 9y3 g 62 n j 6w1
teui3bou6	t 9y3 b ow6
teui3siu1	t 9y3 s iw1
teui3suk1	t 9y3 s u:1 k
teui3faan1	t 9y3 f a:1 n
teui3fo3	t 9y3 f O:3
teui3faan2	t 9y3 f a:2 n
sung3	s u:3 N
sung3seung5	s u:3 N s 9:5 N
sung3ha5	s u:3 N h a:5
sung3yan4	s u:3 N j 64 n
sung3jyu6	s u:3 N dz y:6
sung3m4sung3	s u:3 N m4 s u:3 N
sung3lai4	s u:3 N l 6j4
sung3maai4	s u:3 N m a:j4
sung3ga3	s u:3 N g a:3
sung3fo3	s u:3 N f O:3
sung3daat6	s u:3 N d a:6 t
sik1	s i:1 k
sik1jung1	s i:1 k dz u:1 N
sik1ho2yi4ji2	s i:1 k h O:2 j i:4 dz i:2
sik1hap6	s i:1 k h 66 p
sik1m4sik1hap6	s i:1 k m4 s i:1 k h 66 p
sik1m4sik1ying3	s i:1 k m4 s i:1 k j i:3 N
sik1yi4	s i:1 k j i:4
sik1ying3	s i:1 k j i:3 N
sik1ying3ha5	s i:1 k j i:3 N h a:5
sik1dong3	s i:1 k d O:3 N
tou4	t ow4
tou4bing1	t ow4 b i:1 N
tou4hok6	t ow4 h O:6 k
tou4saang1	t ow4 s a:1 N
tou4fo3	t ow4 f O:3
yik6	j i:6 k
yik6si4	j i:6 k s i:4
syun2	s y:2 n
syun2sau1	s y:2 n s 6w1
syun2sau1fo3	s y:2 n s 6w1 f O:3
syun2fan1	s y:2 n f 61 n
syun2sau2	s y:2 n s 6w2
syun2jaak6	s y:2 n dz a:6 k
syun2jaak6sing3	s y:2 n dz a:6 k s i:3 N
syun2jaak6tai4	s y:2 n dz a:6 k t 6j4
tau3	t 6w3
tau3ha2	t 6w3 h a:2
tau3ming4jong1	t 6w3 m i:4 N dz O:1 N
tau3hei3	t 6w3 h ej3
tau3lou6	t 6w3 l ow6
juk6	dz u:6 k
juk6go3	dz u:6 k g O:3
juk6di1	dz u:6 k d i:1
juk6siu2siu2	dz u:6 k s iw2 s iw2
juk6gaan1	dz u:6 k g a:1 n
dai6	d 6j6
dai6bei2	d 6j6 b ej2
dai6faan2	d 6j6 f a:2 n
tou4jung1	t ow4 dz u:1 N
tou4ging3	t ow4 g i:3 N
tou4ging1	t ow4 g i:1 N
dau6	d 6w6
dau6lau4	d 6w6 l 6w4
tung1	t u:1 N
tung1seun3	t u:1 N s 9:3 n
tung1gwaan1	t u:1 N gw a:1 n
tung1gwaan1jing3	t u:1 N gw a:1 n dz i:3 N
tung1heui3	t u:1 N h 9y3
tung1m4tung1ji1	t u:1 N m4 t u:1 N dz i:1
tung1yun4wa6	t u:1 N j y:4 n w a:6
tung1siu1	t u:1 N s iw1
tung1jo2	t u:1 N dz O:2
tung1seung4	t u:1 N s 9:4 N
tung1saai3la1	t u:1 N s a:j3 l a:1
tung1seui2	t u:1 N s 9y2
tung1jai3	t u:1 N dz 6j3
tung1song2	t u:1 N s O:2 N
tung1yung6	t u:1 N j y:6 N
tung1din6	t u:1 N d i:6 n
tung1ji1	t u:1 N dz i:1
tung1ji1dou3	t u:1 N dz i:1 d ow3
tung1ji1daan1	t u:1 N dz i:1 d a:1 n
tung1fan2	t u:1 N f 62 n
tung1jeung3	t u:1 N dz 9:3 N
tung1hyut3gun2	t u:1 N h y:3 t g u:2 n
tung1gaai1	t u:1 N g a:j1
tung1wa6	t u:1 N w a:6
tung1fo3paang4jeung3	t u:1 N f O:3 p a:4 N dz 9:3 N
tung1go3	t u:1 N g O:3
tung1dou6	t u:1 N d ow6
tung1seun6	t u:1 N s 9:6 n
tung1fung1	t u:1 N f u:1 N
kwaang3	kw a:3 N
kwaang3ha5	kw a:3 N h a:5
kwaang3ha5gaai1	kw a:3 N h a:5 g a:j1
kwaang3gaai1	kw a:3 N g a:j1
sai6sai3	s 6j6 s 6j3
chuk1	ts u:1 k
chuk1dung3	ts u:1 k d u:3 N
chuk1dou6	ts u:1 k d ow6
chuk1jin3chuk1kyut3	ts u:1 k dz i:3 n ts u:1 k k y:3 t
chuk1dai6	ts u:1 k d 6j6
chuk1siu1	ts u:1 k s iw1
jou3	dz ow3
chou3ga2	ts ow3 g a:2
jou3jau6	dz ow3 dz 6w6
fung4	f u:4 N
fung4yun4lou6	f u:4 N j y:4 n l ow6
fung4hai6	f u:4 N h 6j6
bik1	b i:1 k
bik1dak1	b i:1 k d 61 k
bik1jai1	b i:1 k dz 6j1
bik1jan1	b i:1 k dz 61 n
bik1baak1	b i:1 k b a:1 k
seui6kai1	s 9y6 k 6j1
yu6	j y:6
yu6dou3	j y:6 d ow3
dou6	d ow6
dou6yau5	d ow6 j 6w5
dou6lei5	d ow6 l ej5
dou6haang4	d ow6 h a:4 N
dou6mun4	d ow6 m u:4 n
wai4chyun4	w 6j4 ts y:4 n
wai4juk1	w 6j4 dz u:1 k
wai4ham6	w 6j4 h 66 m
lau4	l 6w4
yiu4yun5	j iw4 j y:5 n
yiu4yiu4ling5sin1	j iw4 j iw4 l i:5 N s i:1 n
je1	dz E:1
chi4	ts i:4
chi4di1	ts i:4 d i:1
bei6	b ej6
bei6hoi1	b ej6 h O:j1
bei6jan3	b ej6 dz 63 n
bei6fung1tong4	b ej6 f u:1 N t O:4 N
yiu1yeuk3	j iw1 j 9:3 k
laat6taap3	l a:6 t t a:3 p
dang6	d 66 N
dang6sam1jeung1	d 66 N s 61 m dz 9:1 N
dang6ji3gwan1	d 66 N dz i:3 gw 61 n
dang6ji3gwan1	d 66 N dz i:3 gw 61 n
dang6ji2kei4	d 66 N dz i:2 k ej4
dang6chiu1	d 66 N ts iw1
ying4ga1wai6	j i:4 N g a:1 w 6j6
ying4ji3paang4	j i:4 N dz i:3 p a:4 N
la5	l a:5
la5mo1	l a:5 m O:1
la5dou6	l a:5 d ow6
la5yeung6	l a:5 j 9:6 N
la5bin1	l a:5 b i:1 n
bong1	b O:1 N
yau4	j 6w4
yau4gin6	j 6w4 g i:6 n
yau4gin6hou6	j 6w4 g i:6 n h ow6
yau4guk6	j 6w4 g u:6 k
yau4jing3guk6	j 6w4 dz i:3 N g u:6 k
yau4piu3	j 6w4 p iw3
yau4seung1	j 6w4 s 9:1 N
yau4fai3	j 6w4 f 6j3
yau1man4wa4	j 6w1 m 64 n w a:4
siu6mei5kei4	s iw6 m ej5 k ej4
leun4geui1	l 9:4 n g 9y1
leun4se3	l 9:4 n s E:3
yuk1	j y:1 k
yuk1ha2	j y:1 k h a:2
yuk1go1	j y:1 k g O:1
yuk1m4dou3	j y:1 k m4 d ow3
yuk1lai4yuk1heui3	j y:1 k l 6j4 j y:1 k h 9y3
yuk1sau2	j y:1 k s 6w2
wat1bo1	w 61 t b O:1
yuk1geuk3	j y:1 k g 9:3 k
yuk1yuk1	j y:1 k j y:1 k
yuk1mun6	j y:1 k m u:6 n
gaau1keui1	g a:w1 k 9y1
gaau1oi6	g a:w1 O:j6
jeng6	dz E:6 N
jeng6pui3ji1	dz E:6 N p u:j3 dz i:1
jeng6hoi2fei1	dz E:6 N h O:j2 f ej1
jeng6ga1wing6	dz E:6 N g a:1 w i:6 N
jeng6siu3chau1	dz E:6 N s iw3 ts 6w1
jeng6ji3gwan1	dz E:6 N dz i:3 gw 61 n
jeng6han4	dz E:6 N h 64 n
jeng6sing4gung1	dz E:6 N s i:4 N g u:1 N
jeng6cheung1	dz E:6 N ts 9:1 N
jeng6suk6an4	dz E:6 N s u:6 k 6 n4
gok3	g O:3 k
bou6	b ow6
bou6wai6	b ow6 w 6j6
bou6fan6	b ow6 f 66 n
bou6che1	b ow6 ts E:1
bou6jeung2	b ow6 dz 9:2 N
bou6mun4	b ow6 m u:4 n
bou6deui2	b ow6 d 9y2
gok3	g O:3 k
gwok3wai5man2	gw O:3 k w 6j5 m 62 n
gwok3jeun3yin4	gw O:3 k dz 9:3 n j i:4 n
gok3tin1	g O:3 k t i:1 n
gok3bou2	g O:3 k b ow2
gok3fu3sing4	g O:3 k f u:3 s i:4 N
gwok3siu2ling4	gw O:3 k s iw2 l i:4 N
gwok3lam4jan1	gw O:3 k l 64 m dz 61 n
gwok3sin6nei4	gw O:3 k s i:6 n n ej4
gok3gwok3	g O:3 k gw O:3 k
dou1	d ow1
dou1si5	d ow1 s i:5
dou1dak1	d ow1 d 61 k
dou1ngong6gau1	d ow1 N O:6 N g 6w1
pui3	p u:j3
pui3hap6	p u:j3 h 66 p
pui3tou3	p u:j3 t ow3
pui3liu6	p u:j3 l iw6
pui3fong1	p u:j3 f O:1 N
pui3ji3	p u:j3 dz i:3
pui3sung3	p u:j3 s u:3 N
jau2	dz 6w2
jau2sin1	dz 6w2 s i:1 n
jau2hau6ga3sai2	dz 6w2 h 6w6 g a:3 s 6j2
jau2ba1	dz 6w2 b a:1
jau2ba1gaai1	dz 6w2 b a:1 g a:j1
jau2ga1	dz 6w2 g a:1
jau2dim3	dz 6w2 d i:3 m
jau2lau4	dz 6w2 l 6w4
jau2hung4dang1luk6	dz 6w2 h u:4 N d 61 N l u:6 k
jau2hung4sik1	dz 6w2 h u:4 N s i:1 k
jau2fung4ji1gei2	dz 6w2 f u:4 N dz i:1 g ej2
jau2ga3	dz 6w2 g a:3
jau2gwai2	dz 6w2 gw 6j2
ming4ding1tin1si3	m i:4 N d i:1 N t i:1 n s i:3
jeung3	dz 9:3 N
syun1	s y:1 n
syun1sing3	s y:1 n s i:3 N
syun1tung3	s y:1 n t u:3 N
syun1choi3yu2	s y:1 n ts O:j3 j y:2
syun1laat6	s y:1 n l a:6 t
syun1syun1	s y:1 n s y:1 n
yeung6	j 9:6 N
yim1	j i:1 m
yim1jim1	j i:1 m dz i:1 m
jeui3	dz 9y3
jeui3jau2	dz 9y3 dz 6w2
chou3	ts ow3
sing2	s i:2 N
sing2m4hei2	s i:2 N m4 h ej2
sing2muk6	s i:2 N m u:6 k
sing2hei2	s i:2 N h ej2
sing2jau2	s i:2 N dz 6w2
choi2	ts O:j2
lei5	l ej5
leui5bin1	l 9y5 b i:1 n
leui5min6	l 9y5 m i:6 n
jung6	dz u:6 N
chung4chong1	ts u:4 N ts O:1 N
chung5seung1	ts u:5 N s 9:1 N
chung4sau1	ts u:4 N s 6w1
chung4jou6	ts u:4 N dz ow6
chung5dou3sei2	ts u:5 N d ow3 s ej2
chung5hau2mei6	ts u:5 N h 6w2 m ej6
chung4hap6	ts u:4 N h 66 p
chung4kai2	ts u:4 N k 6j2
chung4fuk6	ts u:4 N f u:6 k
jung6daai6	dz u:6 N d a:j6
chung4tin1	ts u:4 N t i:1 n
chung5tau4	ts u:5 N t 6w4
chung4hing3	ts u:4 N h i:3 N
chung4jan3	ts u:4 N dz 63 n
chung4bo3	ts u:4 N b O:3
chung4san1	ts u:4 N s 61 n
jung6bun2	dz u:6 N b u:2 n
chung4loi4	ts u:4 N l O:j4
chung4sei2	ts u:4 N s ej2
jung6dim2	dz u:6 N d i:2 m
jung6din2baan1	dz u:6 N d i:2 n b a:1 n
jung6yung6	dz u:6 N j y:6 N
chung4jong1	ts u:4 N dz O:1 N
jung6yiu3	dz u:6 N j iw3
jung6yiu3sing3	dz u:6 N j iw3 s i:3 N
chung4chung4	ts u:4 N ts u:4 N
chung5leung6	ts u:5 N l 9:6 N
chung5gam1suk6	ts u:5 N g 61 m s u:6 k
chung4yam1	ts u:4 N j 61 m
ye5	j E:5
ye5ngoi2	j E:5 N O:j2
ye5jin3	j E:5 dz i:3 n
ye5cheui1	j E:5 ts 9y1
ye5ye5	j E:5 j E:5
ye5sik6	j E:5 s i:6 k
ye5chaan1	j E:5 ts a:1 n
leung6	l 9:6 N
leung6lik6yi4wai4	l 9:6 N l i:6 k j i:4 w 6j4
gam1	g 61 m
gam1si1	g 61 m s i:1
gam1gau2ngan4sap6	g 61 m g 6w2 N 64 n s 66 p
gam1ga3	g 61 m g a:3
gam1gong1wa4	g 61 m g O:1 N w a:4
gam1gong1	g 61 m g O:1 N
gam1lei6	g 61 m l ej6
gam1faat3	g 61 m f a:3 t
gam1faat3jing1	g 61 m f a:3 t dz i:1 N
gam1gat1lei6chyun1	g 61 m g 61 t l ej6 ts y:1 n
gam1gok3	g 61 m g O:3 k
gam1sing4	g 61 m s i:4 N
gam1suk6gu2	g 61 m s u:6 k g u:2
gam1saan1	g 61 m s a:1 n
gam1bai6	g 61 m b 6j6
gam1yung4	g 61 m j y:4 N
gam1gaai3ji2	g 61 m g a:j3 dz i:2
gam1jap1	g 61 m dz 61 p
gam1sing1	g 61 m s i:1 N
gam1kuk1	g 61 m k u:1 k
gam1tiu2	g 61 m t iw2
gam1tiu2tung2	g 61 m t iw2 t u:2 N
gam1gat1	g 61 m g 61 t
gam1gong1	g 61 m g O:1 N
gam1sa1	g 61 m s a:1
gam1sa1jau1	g 61 m s a:1 dz 6w1
gam1sa1jau1	g 61 m s a:1 dz 6w1
gam1sa1taan1	g 61 m s a:1 t a:1 n
gam1jaak6	g 61 m dz a:6 k
gam1paai4	g 61 m p a:j4
gam1jyu1	g 61 m dz y:1
gam1mui4	g 61 m m u:j4
gam1jyu1	g 61 m dz y:1
gam1tin4	g 61 m t i:4 n
gam1pun4sai2sau2	g 61 m p u:4 n s 6j2 s 6w2
gam1kwong3	g 61 m kw O:3 N
gam1jyun1	g 61 m dz y:1 n
gam1bik1	g 61 m b i:1 k
gam1mei5	g 61 m m ej5
gam1sik1	g 61 m s i:1 k
gam1yung4	g 61 m j y:4 N
gam1gam1	g 61 m g 61 m
gam1gam1dei6	g 61 m g 61 m d ej6
gam1jung1	g 61 m dz u:1 N
gam1chin4	g 61 m ts i:4 n
gam1chin4syu6	g 61 m ts i:4 n s y:6
gam1chin4gwai1	g 61 m ts i:4 n gw 6j1
gam1an4sau2sik1	g 61 m 6 n4 s 6w2 s i:1 k
gam1pou3	g 61 m p ow3
gam1lin6	g 61 m l i:6 n
gam1mun4	g 61 m m u:4 n
gam1yu4	g 61 m j y:4
gam1hong6lin4	g 61 m h O:6 N l i:4 n
gam1aak2	g 61 m a:2 k
gam1yu2	g 61 m j y:2
gam1yu4gong1	g 61 m j y:4 g O:1 N
gam1ming4gin1	g 61 m m i:4 N g i:1 n
gam1wong4	g 61 m w O:4 N
gam1gwai1	g 61 m gw 6j1
ngaak3	N a:3 k
gaam3	g a:3 m
gaam3ming4	g a:3 m m i:4 N
gaam3jing3	g a:3 m dz i:3 N
chin4	ts i:4 n
gaai3	g a:j3
jam1	dz 61 m
jam1deui3	dz 61 m d 9y3
jam1gau3	dz 61 m g 6w3
jam1jik1	dz 61 m dz i:1 k
jam1yeuk6	dz 61 m j 9:6 k
deng1	d E:1 N
diu3	d iw3
diu3dou3	d iw3 d ow3
diu3m4diu3dou2	d iw3 m4 d iw3 d ow2
diu3yu5	d iw3 j y:5
diu3yu4lok6	d iw3 j y:4 l O:6 k
yeung4	j 9:4 N
koi3	k O:j3
koi3pin3	k O:j3 p i:3 n
koi3jat1	k O:j3 dz 61 t
deun6	d 9:6 n
jung1	dz u:1 N
jung1wan4	dz u:1 N w 64 n
jung1tong4	dz u:1 N t O:4 N
jung1tong4gei3	dz u:1 N t O:4 N g ej3
jung1m4jung1ji3	dz u:1 N m4 dz u:1 N dz i:3
jung1tau4	dz u:1 N t 6w4
jung1ji3paang4	dz u:1 N dz i:3 p a:4 N
jung1yi3	dz u:1 N j i:3
jung1yi3heui3	dz u:1 N j i:3 h 9y3
jung1yi3haang4	dz u:1 N j i:3 h a:4 N
jung1sou3	dz u:1 N s ow3
jung1man2	dz u:1 N m 62 n
jung1cheun1ming1	dz u:1 N ts 9:1 n m i:1 N
jung1yau5king4	dz u:1 N j 6w5 k i:4 N
jung1leng4	dz u:1 N l E:4 N
jung1dim2	dz u:1 N d i:2 m
jung1saang1	dz u:1 N s a:1 N
jung1sau3	dz u:1 N s 6w3
jung1sau3ling4	dz u:1 N s 6w3 l i:4 N
jung1ji6keung5	dz u:1 N dz i:6 k 9:5 N
jung1biu2	dz u:1 N b iw2
jung1sing4yi1yun2	dz u:1 N s i:4 N j i:1 j y:2 n
gong1	g O:1 N
gong3yan3	g O:3 N j 63 n
gong3tiu4	g O:3 N t iw4
gong1paai4	g O:1 N p a:j4
gong3kam4	g O:3 N k 64 m
gong3tit3haap6	g O:3 N t i:3 t h a:6 p
gong3mun4	g O:3 N m u:4 n
yeuk6si4	j 9:6 k s i:4
yam1	j 61 m
ngau1	N 6w1
gau1jong1	g 6w1 dz O:1 N
lau2kau3din6chi4	l 6w2 k 6w3 d i:6 n ts i:4
chin2	ts i:2 n
chin4tong4gong1	ts i:4 n t O:4 N g O:1 N
kim4	k i:4 m
but3	b u:3 t
jyun3	dz y:3 n
jyun3jeui2	dz y:3 n dz 9y2
jyun3gei1	dz y:3 n g ej1
tit3	t i:3 t
tit3fong2	t i:3 t f O:2 N
tit3chyu5	t i:3 t ts y:5
tit3pin3	t i:3 t p i:3 n
tit3kau4	t i:3 t k 6w4
tit3gun1yam1	t i:3 t g u:1 n j 61 m
tit3mun4	t i:3 t m u:4 n
ling4	l i:4 N
tung4	t u:4 N
tung4tiu4	t u:4 N t iw4
leui5	l 9y5
leui5hap6	l 9y5 h 66 p
leui5hap6gam1	l 9y5 h 66 p g 61 m
leui5choi4	l 9y5 ts O:j4
gaau3jin2	g a:w3 dz i:2 n
an4	6 n4
an4jai2	6 n4 dz 6j2
an4baau1	6 n4 b a:w1
an4baau1seung2	6 n4 b a:w1 s 9:2 N
ngan4sing1	N 64 n s i:1 N
an4ji2	6 n4 dz i:2
an4wu4	6 n4 w u:4
an4jaan2	6 n4 dz a:2 n
an4ji2	6 n4 dz i:2
an4sik1	6 n4 s i:1 k
an4fa1	6 n4 f a:1
an4hong4	6 n4 h O:4 N
an4hong4ka1	6 n4 h O:4 N k a:1
ngan4hong4gu2	N 64 n h O:4 N g u:2
an4gei3	6 n4 g ej3
an4chin2	6 n4 ts i:2 n
an4an4	6 n4 6 n4
an4ngaan6	6 n4 N a:6 n
pou3	p ow3
pou3wai2	p ow3 w 6j2
pou3dou3	p ow3 d ow3
pou3tau4	p ow3 t 6w4
pou3jou1	p ow3 dz ow1
pou3min2	p ow3 m i:2 n
lin4jyu1	l i:4 n dz y:1
siu1	s iw1
siu1sau6	s iw1 s 6w6
siu1sau6bou6	s iw1 s 6w6 b ow6
siu1lou6	s iw1 l ow6
